STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2227,"HORDAI PUKHURI, CHARAIDEW",ASSAM,19,28,24.25,5.2,7.5,6.2,6.2,7,6.73,20,35,25,1.8,3.2,2.3,0.1,0.15,0.12,0,0,0,360,730,627.5
2228,GALA BEEL AT DERGAON,ASSAM,24,36,31.25,4,7,5.25,6.6,7.2,6.93,56,214,134.5,1.6,3.8,2.25,0.1,0.28,0.21,0,0,0,730,910,820
1532,"*GOYSAGAR TANK, SIBSAGAR",ASSAM,18,28,23,5.3,7.2,6.2,6.3,7,6.7,20,20,20,2,2.8,2.43,0.1,0.19,0.13,0,0,0,700,1400,1075
1425,LOKTAK LAKE AT THANA,MANIPUR,28,30,29,6.08,9.11,7.23,7.2,7.8,7.44,33,174,108,0.1,4.65,2.55,NA,NA,NA,NA,NA,NA,25,60,38
1426,LOKTAK LAKE AT BISHNUPUR,MANIPUR,27,30,28.6,7.3,10.14,8.99,7,7.3,7.15,74.7,172,128.7,1.01,8.7,3.59,NA,NA,NA,NA,NA,NA,15,85,42
1629,SENDRA (LOKTAK LAKE),MANIPUR,28,30,29.4,9.12,10.05,9.63,6.8,8,7.54,67.3,135,101.34,1.42,4.25,2.7,NA,NA,NA,NA,NA,NA,5,55,35
1630,"KARANG,ISLAND (LOKTAK LAKE)",MANIPUR,28,31,29.8,6.08,9.73,7.76,6.8,7.7,7.24,76.9,193,119.6,0.51,4.86,2.37,NA,NA,NA,NA,NA,NA,25,45,37
2837,"PUMLEN LAKE AT TOKPACHING, DISTT. THOUBAL",MANIPUR,27,30,29,4.6,9.1,6.78,6.7,7.8,7.13,99.4,327,189.08,1.54,4.84,3.37,NA,NA,NA,NA,NA,NA,20,50,40
2839,"PUKHRI AT LANGMEIDONG, DISTT. THOUBAL",MANIPUR,28,33,30,7.9,10.14,8.99,6.8,7.9,7.54,115,262,195.04,1.7,9.93,5.79,NA,NA,NA,NA,NA,NA,5,35,21
2840,"LAMJAO PUKHURI AT ACHOUBA, DISTT. THOUBAL",MANIPUR,27,33,29,7.9,11,9.14,7,8,7.44,114,238,194.36,0.2,4.24,2.49,NA,NA,NA,NA,NA,NA,10,55,32
