STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2443,GAUTAMI-GODAVARI RIVER,PONDICHERRY,25,25,25,6.8,6.8,6.8,8.05,8.05,8.05,1516,1516,1516,NA,NA,NA,0.28,0.28,0.28,NA,NA,NA,NA,NA,NA
2445,MAHE RIVER,PONDICHERRY,26,26,26,6,6,6,7.27,7.27,7.27,44600,44600,44600,NA,NA,NA,0.23,0.23,0.23,NA,NA,NA,NA,NA,NA
1450,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,TAMILNADU,21,32,26.75,4.9,8.9,6.76,6.91,7.88,7.46,725,1065,890.42,1,4,2.08,0.01,1,0.51,2,1700,273.75,2,2800,589.33
1159,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,22,26,23.33,6.4,7.7,7.27,6.57,7.69,7.56,62.8,867,159.99,0.8,5.8,1.86,0,0.14,0.06,21,40,31.5,70,120,89.17
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",TAMILNADU,23,28,25.25,6.1,7.6,7.02,6.16,7.98,7.69,86.4,318,110.56,1,8,2.17,0,0.2,0.08,38,70,53,110,170,130.83
1161,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",TAMILNADU,24,29,26,5.4,7.8,6.7,6.28,7.84,7.66,103.5,358,139.07,1,14,3.14,0.03,0.94,0.22,70,170,122.5,130,350,300
1162,TAMBIRAPARANI AT MURAPPANADU,TAMILNADU,29,29,29,6.1,7.8,7.18,6.78,7.93,7.22,185.8,506,287.88,1,5,2.06,0.01,0.3,0.14,21,70,33.2,80,110,91
1328,TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU,18,28,24.17,6,7.6,6.98,6.18,7.76,7.11,69.7,246,95.23,1.1,6.8,1.91,0.01,0.23,0.08,30,70,47.17,90,170,118.33
1329,TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM,TAMILNADU,22,26,23.5,6,7.8,7.04,6.02,7.67,7.48,62.5,252,84.26,1,6.2,1.7,0,0.21,0.06,24,50,32.33,80,110,86.67
1330,TAMBIRAPARANI AT ARUMUGANERI,TAMILNADU,29,29,29,6,8.4,7.44,0.27,8.16,7,280,14580,3101.4,1.45,115,15.56,0.01,0.71,0.15,40,170,76,120,350,174
3025,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",TAMILNADU,29,29,29,6.5,7.7,7.19,6.84,7.9,7.3,278,883,509.8,1.2,8,2.92,0.01,0.31,0.08,30,80,46,110,170,123
3026,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",TAMILNADU,23,27,24.42,6.5,7.6,7.07,6.24,7.67,7.4,64,214,87.88,0.9,7,1.82,0,0.2,0.07,21,50,33.5,70,120,90
3027,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",TAMILNADU,29,29,29,6.4,8.1,7.23,6.57,7.44,6.92,154.4,1094,338.16,1,16,3.77,0.01,0.25,0.07,24,80,44.22,90,130,104.44
3028,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",TAMILNADU,25,29,26.42,5.3,7.6,6.68,6.47,7.88,7.65,116.9,389,162.41,0.9,16,3.25,0.01,0.53,0.16,70,110,89.67,210,350,249.17
3029,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",TAMILNADU,25,30,26.83,5.5,7.7,6.68,6.42,7.76,7.58,142.5,383,181.9,1.1,24,4.15,0.01,0.4,0.15,70,110,91.83,200,300,250.83
3023,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",TAMILNADU,28,35,31.75,0,0.9,0.23,6.8,7.62,7.25,1092,3310,2219.08,0.3,500,185.78,0.12,10.17,1.75,7900,900000000,180000000,13000,2000000000,300000000
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
