STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1823,DHOUS AT MADHUBANI,BIHAR,16,30,23.6,7,8.6,7.65,7.16,8.43,7.79,227,412,333.8,2.4,2.9,2.78,NA,NA,NA,800,5000,2380,2800,24000,6880
1824,FARMAR AT JOGBANI,BIHAR,15,31,23.27,6.6,7.9,7.43,7.5,7.9,7.72,260,382,305.27,2.4,2.9,2.68,NA,NA,NA,900,3000,1740,2800,9000,4560
2559,RAM REKHA AT HARINAGAR,BIHAR,12,33,23.3,3.5,6.1,5.38,7,8.25,7.49,345,608,393.6,2.6,4.8,3.03,NA,NA,NA,1100,5000,2640,2400,16000,7520
3130,RAM REKHA AT U/S HARINAGAR,BIHAR,11.5,33,22.3,7,8.4,7.85,7.2,8.12,7.55,258,356,279,2,2.8,2.46,NA,NA,NA,500,1300,810,1100,2400,1690
1822,SIRSA AT RUXOL,BIHAR,11.5,28.5,20.78,3.5,6,4.46,7.81,7.99,7.9,375,688,442.89,3,12,7.16,NA,NA,NA,3000,9000,7000,16000,24000,23111.1
3132,BAGMATI AT MUZAFFARPUR - SITAMARHI ROAD BRIDGE,BIHAR,13,32,22.3,7.8,9.8,8.35,7.5,8.11,7.89,225,305,263.6,2,2.6,2.4,NA,NA,NA,500,2200,850,800,5000,1970
3135,BAGMATI  AT DARBHANGA - SAMASTIPUR ROAD BRIDGE,BIHAR,16,31,24.1,7.5,9.2,8.28,7.34,8.66,7.88,232,352,288.4,2.2,2.6,2.43,NA,NA,NA,500,1300,760,900,2800,1780
3131,U/S MANUSMAR RIVER (RIGA),BIHAR,12,31,22.1,5.9,9.4,7.9,7.7,8.06,7.89,268,372,324.6,2.2,2.8,2.59,NA,NA,NA,110,2400,1011,1400,5000,2660
3119,PUNPUN NR PUNPUN RAIL BRIDGE,BIHAR,16,33,23.3,7.3,8,7.61,7.46,8.41,7.77,246,376,305.5,2,2.4,2.22,NA,NA,NA,700,2200,1143,1700,3500,2420
3120,PUNPUN NR KINZER RD BRIDGE,BIHAR,16,33,24.35,7.2,9,7.78,7.46,8.41,7.84,208,362,290.9,1.9,2.5,2.15,NA,NA,NA,500,1300,865,1300,2800,2160
3136,SIRSIA D/S RAXAUL (KOERIA TOLA),BIHAR,11,29,20.78,3.4,6.1,4.48,7.84,8.1,7.9,372,793,455.44,3,15,7.8,NA,NA,NA,5000,16000,8000,24000,24000,24000
