STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2134,NAGCHUN TALAB AT KHANDWA,MADHYA PRADESH,23.8,29,25.93,6.4,7.8,7.13,7.7,7.9,7.77,352,609,452.33,1.3,1.6,1.4,0.45,3.47,1.68,1,1,1,170,500,340
2135,GOVINDGARH TANK,MADHYA PRADESH,22,39,26.31,6.1,6.9,6.61,7.29,7.68,7.5,0.47,0.9,0.71,1.5,3.6,2.29,1.41,5.01,2.97,4,22,9.83,27,300,101.75
2136,"SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL, BHOPAL",MADHYA PRADESH,21,30,26,4.1,15.5,7.97,7.2,8.6,7.93,228,1244,627.46,1.4,16,5.14,0.1,4.12,1.94,0,140,23.13,60,1600,607.27
2140,"KERWA DAM NEAR REST HOUSE, BPL",MADHYA PRADESH,21,30,25.63,4.2,9.5,6.97,7.2,8.7,7.82,159,966,317.78,0.5,12,2.71,0.42,5.92,1.75,0,2,0.8,11,90,46.67
2141,JANUNIA TALAB NEAR W/S,MADHYA PRADESH,20,27,23.88,5.8,11.5,7.37,7.4,8.3,7.89,222,1050,445.22,0.8,9.8,2.92,0.1,4.65,1.73,0,7,3.57,22,300,133.56
3299,HANUMANTAL JABALPUR,MADHYA PRADESH,18,26.4,22.43,6.4,8.4,7.24,7.3,7.91,7.64,299,731,466.63,1.4,8,2.91,0,0.92,0.58,NA,NA,NA,17,210,118.63
3300,"RANITAL TALAB, JABALPUR",MADHYA PRADESH,18,26,22.63,6.2,8.9,7.65,6.91,8.39,7.76,399,627,503.13,1.8,12,3.59,0.12,0.86,0.65,10,10,10,7,450,112.63
3301,MOTI TALAB AT BALAGHAT,MADHYA PRADESH,18,25,22.75,6.4,8.3,7.34,7.2,8.59,7.73,136,532,406.38,1.2,4.8,2.4,0.1,0.86,0.4,5,5,5,14,450,109.63
3303,"RANI TALAB, REWA",MADHYA PRADESH,21,38,26.86,6.3,7.3,6.64,7.34,7.66,7.51,0.47,1.42,0.83,1,2.8,2,1.83,4.22,2.85,2,7,4.75,21,300,109.14
3164,"NEHRU NAGAR TALAB, BHILAI",CHHATTISGARH,25,31,28.09,6.1,6.7,6.42,6.4,7.4,7.01,174,358,327.71,2.3,24,18.16,0.4,1.63,0.92,NA,NA,NA,360,460,450
3163,"HITKASA TAILING DAM, RAJHARA",CHHATTISGARH,22,32,27.1,6,6.3,6.15,7.4,7.6,7.48,329,338,333.6,6.4,9,7.53,0.44,0.68,0.53,NA,NA,NA,260,2400,631.11
1285,PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT),RAJASTHAN,20,27,23.92,4.7,5.6,5.21,7.01,8.57,7.93,500,790,645,0.87,2.06,1.4,0.08,0.8,0.39,3,9,4.83,4,75,21.25
1286,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.),RAJASTHAN,20,27,23.83,4.2,5.4,4.98,7.6,9.08,8.31,1260,2100,1667.5,0.88,4.75,3.33,0.4,1.9,1.07,4,20,11.58,14,240,135.67
1414,PUSHKAR LAKE,RAJASTHAN,17,20,18.92,2.09,6.42,3.94,7.24,8.24,7.61,16,750,455.5,1.66,14.82,4.77,0.14,1.1,0.56,4,14,8.42,9,150,47.75
1481,FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN,20,28,23.67,5.1,6,5.42,7.66,8.89,8.41,590,760,634.17,0.72,2.33,1.5,0.02,0.92,0.36,3,4,3.83,4,20,12.08
1714,KAYALANA JHEEL JODHPUR,RAJASTHAN,14,27,22.13,4,10.7,6.62,7.53,8.86,8.11,280,390,337.5,0.63,2.87,1.5,0.16,1.82,0.62,3,7,4.18,4,28,15.17
1716,"NAKKI LAKE, MT. ABU",RAJASTHAN,11,22,19.33,3.76,7.55,5.68,7.07,8.98,8.03,260,470,316.67,0.82,2.91,2.22,0.3,0.48,0.41,3,7,3.67,4,20,7.92
2935,"LAKE JET SAGAR, BUNDI",RAJASTHAN,15,34,25.33,3.29,7.04,4.86,7.18,8.11,7.57,410,670,521.67,0.83,2.92,1.81,0.08,0.54,0.31,3,7,4.33,4,28,15.08
2936,"JAISAMAND LAKE, ALWAR",RAJASTHAN,17,32,25.6,4.85,5.46,5.11,7.54,8.8,8.02,210,460,326,1.42,2.52,1.78,0.16,0.54,0.35,3,14,5.4,4,93,27.2
2941,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 1",RAJASTHAN,18,27,22.67,5.8,6.8,6.43,7.72,8.81,8.35,580,700,621.67,0.29,2.64,1.39,0.02,0.74,0.29,3,9,4.08,4,23,11.42
2942,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 2",RAJASTHAN,19,27,23.08,5.7,6.8,6.34,7.54,8.85,8.35,510,690,616.67,0.51,2.54,1.49,0.14,0.84,0.33,3,7,3.92,4,28,12.92
2937,"LAKE SILISERH, ALWAR",RAJASTHAN,16,32,25.29,4.3,6.79,5.06,7.38,8.65,7.91,190,830,362.5,0.72,1.87,1.35,0.16,0.74,0.38,3,7,3.92,4,21,10.42
2938,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 1, RAJSAMAND",RAJASTHAN,16,24,20.03,4.03,8.33,5.8,7.39,8.7,8.33,510,900,610,1.07,4.9,2.52,0.08,0.54,0.29,3,7,4,4,28,14.42
2939,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 2, RAJSAMAND",RAJASTHAN,17,23,20.17,4.17,8.62,5.88,4.2,8.56,7.94,500,770,596.67,1.02,4.2,2.4,0.02,0.42,0.27,3,7,3.92,4,28,14.83
2940,"GAPE- SAGAR LAKE, DUNGARPUR",RAJASTHAN,18,27,22.58,4.1,5.2,4.82,7.58,8.26,7.95,450,790,600,0.78,2.84,1.71,0.02,1.14,0.48,4,9,4.67,9,75,22.08
2943,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA",RAJASTHAN,22.5,32,26.79,2.35,6.27,4.43,7.31,8.3,7.65,108,1510,916.5,0.97,5.56,2.25,0.08,0.98,0.4,3,9,4.67,4,75,19.75
2944,"JALMAHAL, JAIPUR",RAJASTHAN,17,33,25.54,1.26,6.98,3.8,7.65,9,8.53,860,2900,2255,3.81,14.55,7.03,0.54,6,1.78,4,9,5.17,7,75,23
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
