STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1642.0,NAGAVALLI AT JAYKAYPUR D/S,ORISSA,26.08,6.81,8.13,263.5,2.58,Unsafe,,,['BOD']
1643.0,NAGAVALLI AT RAYAGADA D/S,ORISSA,25.25,7.15,8.1,271.83,3.14,Unsafe,,,['BOD']
1455.0,RUSHIKULYA AT GANJAM U/S,ORISSA,28.0,7.98,8.3,311.83,1.44,Safe,,,['NONE']
1456.0,RUSHIKULYA AT GANJAM D/S,ORISSA,28.75,8.15,7.98,19595.1,1.95,Unsafe,,,['EC']
2426.0,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,25.83,7.0,7.98,198.92,1.83,Safe,,,['NONE']
2427.0,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,27.67,7.17,8.05,201.08,1.64,Safe,,,['NONE']
2439.0,PURI,ORISSA,26.42,7.05,8.03,40106.7,1.28,Unsafe,19.8133822,85.8314655,['EC']
2440.0,PARADEEP,ORISSA,28.25,7.07,7.93,41071.7,1.18,Unsafe,20.3165523,86.6113628,['EC']
2441.0,GOPALPUR,ORISSA,27.58,6.98,7.93,41660.0,1.59,Unsafe,19.2647208,84.8620054,['EC']
2428.0,JOBRA( ORIGIN OF TALAGANDA CNAL),ORISSA,27.8,7.94,7.92,173.0,1.78,Safe,,,['NONE']
2429.0,"NAUBAZAR, CUTTACK CITY",ORISSA,28.6,6.44,7.94,182.8,2.08,Unsafe,,,['BOD']
2430.0,"ATHARABANKI(WATER INTAKE POINT OF PPL, IFFCO & PPT)",ORISSA,29.2,7.71,7.83,572.07,3.62,Unsafe,,,['BOD']
2437.0,CHILKA LAKE (RAMSAR SITE),ORISSA,29.17,7.46,7.98,28683.3,1.58,Unsafe,,,['EC']
2438.0,ANSHUPA,ORISSA,28.0,8.14,8.0,162.36,1.63,Safe,,,['NONE']
2431.0,BINDUSAGAR ( RELIGIOUS POND OF BHUBANESWAR CITY),ORISSA,30.0,11.59,7.73,459.5,12.35,Unsafe,,,['BOD']
2432.0,NARENDRA POKHARI ( RILIGIOUS POND OF PURI CITY),ORISSA,28.25,11.43,8.54,998.0,7.03,Unsafe,,,"['pH', 'BOD']"
2433.0,MARKANDA POKHARI ( RILIGIOUS POND OF PURI CITY),ORISSA,28.0,12.63,8.23,750.08,6.32,Unsafe,,,['BOD']
2434.0,INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),ORISSA,27.67,8.78,8.28,706.17,5.03,Unsafe,,,['BOD']
2435.0,SWETAGANGA ( RILIGIOUS POND OF PURI CITY),ORISSA,27.5,14.39,8.68,1254.25,11.5,Unsafe,,,"['pH', 'BOD']"
2436.0,PARVATI SAGAR ( RILIGIOUS POND OF PURI CITY),ORISSA,26.92,9.95,8.04,687.67,8.03,Unsafe,,,['BOD']
1267.0,IB AT SUNDARGARH,ORISSA,29.42,7.87,7.71,144.33,1.51,Safe,,,['NONE']
1268.0,IB AT JHARSUGUDA (INTAKE),ORISSA,29.42,7.68,7.84,146.92,1.44,Safe,,,['NONE']
1300.0,IB AT  RAJ NAGAR U/S,ORISSA,29.42,7.99,7.6,154.42,1.26,Safe,,,['NONE']
1269.0,IB AT BRAJRAJNAGAR D/S,ORISSA,29.25,7.74,7.78,163.42,1.63,Safe,,,['NONE']
