STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
2504.0,MAINH GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,28.97,8.78,8.02,763.42,8.22,Unsafe,,,['BOD']
2505.0,HUNUMAN GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,28.93,9.6,8.01,761.25,8.34,Unsafe,,,['BOD']
2519.0,KOCHBIHAR LAKE (SAGAR DIGHI),WEST BENGAL,28.0,8.43,7.66,53.1,4.8,Unsafe,,,['BOD']
2520.0,MIRIKH LAKE,WEST BENGAL,17.42,7.97,7.5,102.04,4.58,Unsafe,,,['BOD']
2521.0,WATER RESERVIOR AT DELO,WEST BENGAL,18.33,8.23,7.53,25.26,2.08,Unsafe,,,"['EC', 'BOD']"
2522.0,SINCHAL LAKE FOR DARJEELING,WEST BENGAL,12.75,8.38,7.33,25.89,1.8,Unsafe,,,['EC']
2539.0,BELBONI LAKE NEAR BARJORA,WEST BENGAL,26.0,7.7,7.56,182.67,2.43,Unsafe,,,['BOD']
2544.0,SAHEBBANDH AT PURULIA,WEST BENGAL,27.08,9.09,7.95,418.83,4.37,Unsafe,,,['BOD']
1947.0,TEESTA AT SILIGURI,WEST BENGAL,18.08,7.81,7.51,91.21,2.26,Unsafe,,,['BOD']
2523.0,"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",WEST BENGAL,26.0,7.47,7.53,84.04,2.31,Unsafe,,,['BOD']
2524.0,"KALJANI D/S OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT",WEST BENGAL,26.58,7.27,7.59,131.83,2.69,Unsafe,,,['BOD']
