STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1782.0,"KRISHNA AT HAMSALA DEEVI , GUNTUR",ANDHRA PRADESH,20.73,5.61,7.37,3646.91,0.56,Unsafe,,,"['EC', 'DO']"
1448.0,NAGAVALLI AT THOTAPALLI REGULATOR,ANDHRA PRADESH,26.64,5.98,7.63,429.27,1.13,Unsafe,,,['DO']
2352.0,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,27.0,5.95,7.79,308.0,1.13,Unsafe,,,['DO']
3080.0,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,19.83,5.83,7.39,504.75,0.58,Unsafe,,,['DO']
3081.0,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,23.5,6.12,7.46,464.83,0.53,Safe,,,['NONE']
2354.0,"SAMARLA KOTA CANAL, KAKINADA,EAST GODAVARI",ANDHRA PRADESH,24.55,5.85,7.37,338.18,1.13,Unsafe,16.9124038,81.8248844,['DO']
2355.0,"TULJE BAGH CANAL, TEKRI DRAIN,KAKINADA,EAST GODAVARI,",ANDHRA PRADESH,26.0,5.98,7.37,4849.55,1.31,Unsafe,,,"['EC', 'DO']"
3051.0,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY,  KRISHNA",ANDHRA PRADESH,23.38,3.38,7.04,953.88,1.96,Unsafe,,,['DO']
3052.0,"GUNTATHIPPA DRAIN B/C WITH RYVES CANAL AT RAMAVARAPPADU,  KRISHNA",ANDHRA PRADESH,22.73,2.33,7.0,1736.36,3.05,Unsafe,,,"['EC', 'DO', 'BOD']"
3053.0,"TULIA BAGH DRAIN AT VEMULAVADA,  EAST GODAVARI",ANDHRA PRADESH,26.27,5.8,7.35,12023.3,1.58,Unsafe,,,"['EC', 'DO']"
3054.0,"OUTLET OF ASH POND EFFLUENTS OF M/S.NTPC, RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,29.67,3.28,9.51,1169.0,12.49,Unsafe,,,"['pH', 'DO', 'BOD']"
3055.0,"TREATED EFFLUENTS OF 339 MLD STP, AMBERPET, HYDERABAD BEFORE JOINING TO MUSI,  HYDERABAD",ANDHRA PRADESH,27.22,1.36,7.66,1501.27,32.89,Unsafe,,,"['EC', 'DO', 'BOD']"
3056.0,"OUTLET OF STP, LANGARHOUSE LAKE,  RANGA REDDY",ANDHRA PRADESH,27.25,2.68,7.93,1352.0,16.19,Unsafe,,,"['DO', 'BOD']"
3057.0,"OUTLET OF STP, NAGOLE ON RIVER MUSI,  RANGA REDDY",ANDHRA PRADESH,27.6,3.99,7.86,1116.36,23.0,Unsafe,,,"['DO', 'BOD']"
3058.0,"OUTLET OF STP, KHAIRATABAD ON HUSSAINSAGAR LAKE, RANGA REDDY",ANDHRA PRADESH,26.71,3.3,7.38,962.0,28.57,Unsafe,,,"['DO', 'BOD']"
3059.0,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY",ANDHRA PRADESH,27.38,2.06,7.78,1631.7,26.14,Unsafe,,,"['EC', 'DO', 'BOD']"
3060.0,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY",ANDHRA PRADESH,24.43,2.59,8.12,1691.11,12.68,Unsafe,,,"['EC', 'DO', 'BOD']"
3061.0,"OUTLET OF STP, NALLACHERUVU ON MUSI,  RANGAREDDY",ANDHRA PRADESH,27.4,2.83,7.71,1733.5,36.83,Unsafe,,,"['EC', 'DO', 'BOD']"
3062.0,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY",ANDHRA PRADESH,27.7,2.31,7.68,1779.45,25.0,Unsafe,,,"['EC', 'DO', 'BOD']"
3063.0,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL,  ADILABAD",ANDHRA PRADESH,27.64,3.79,7.61,1573.64,60.36,Unsafe,,,"['EC', 'DO', 'BOD']"
3064.0,"OUTLET OF 4MLD STP ON RIVER GODAVARI AT RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,29.5,0.38,7.92,1408.0,32.8,Unsafe,,,"['DO', 'BOD']"
3065.0,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,30.1,1.37,7.8,1189.1,42.61,Unsafe,,,"['DO', 'BOD']"
3066.0,"OUTLET OF STP ON GODAVARI, BHADRACHALAM,  KHAMMAM",ANDHRA PRADESH,20.73,1.92,6.88,1114.36,3.3,Unsafe,,,"['DO', 'BOD']"
3067.0,"OUTLET OF STP ON GODAVARI, RAJAHMUNDRY,  EAST GODAVARI",ANDHRA PRADESH,25.36,5.85,7.55,298.55,1.13,Unsafe,,,['DO']
1391.0,"HUSSAIN SAGAR LAKE, BUDAMERU",ANDHRA PRADESH,28.82,3.43,7.51,1439.36,62.0,Unsafe,,,"['DO', 'BOD']"
1447.0,DHARMASAGAR TANK NEAR WARANGAL,ANDHRA PRADESH,27.0,7.23,7.69,307.09,7.05,Unsafe,,,['BOD']
1464.0,BIBINAGAR TANK,ANDHRA PRADESH,28.18,6.06,8.01,1404.55,4.04,Unsafe,,,['BOD']
1780.0,"GANDIGUDEM ,MEDAK",ANDHRA PRADESH,28.41,5.17,7.39,4119.73,14.27,Unsafe,,,"['EC', 'DO', 'BOD']"
1783.0,"KISTAREDDYPET TANK , MEDAK",ANDHRA PRADESH,28.61,4.51,7.84,8321.22,27.9,Unsafe,,,"['EC', 'DO', 'BOD']"
1788.0,"SAROONAGAR , RANGA REDDY",ANDHRA PRADESH,27.4,2.25,7.65,1553.2,56.25,Unsafe,,,"['EC', 'DO', 'BOD']"
1789.0,"HIMAYAT SAGAR LAKE , R.R.",ANDHRA PRADESH,27.67,5.14,8.06,422.44,8.44,Unsafe,,,"['DO', 'BOD']"
1790.0,"PULICATE LAKE ,  NELLORE",ANDHRA PRADESH,28.82,5.0,7.59,48005.5,1.03,Unsafe,,,"['EC', 'DO']"
2340.0,"LAXMINARAYANA CHEVURU AT EDULABAD,RANGAREDDY",ANDHRA PRADESH,27.18,2.68,7.73,1485.36,47.56,Unsafe,,,"['DO', 'BOD']"
2341.0,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",ANDHRA PRADESH,28.64,4.95,7.66,1487.18,31.13,Unsafe,,,"['DO', 'BOD']"
2342.0,"NOOR MD. KUNTA, KATTEDAN, RANGAREDDY",ANDHRA PRADESH,27.09,0.92,7.75,2422.0,59.14,Unsafe,,,"['EC', 'DO', 'BOD']"
2343.0,"PREMAJIPET TANK, KATTEDAN, RANGAREDDY",ANDHRA PRADESH,27.73,3.34,5.07,7703.73,65.2,Unsafe,,,"['pH', 'EC', 'DO', 'BOD']"
2344.0,"NALLA CHEVURU,RANGAREDDY",ANDHRA PRADESH,26.36,0.0,7.56,1580.45,53.75,Unsafe,,,"['EC', 'DO', 'BOD']"
2345.0,"SAI CHEVURU, NEAR TANNERY INDUSTRIES, DESAIPET, WARANGAL",ANDHRA PRADESH,28.36,3.08,7.83,33683.6,228.0,Unsafe,,,"['EC', 'DO', 'BOD']"
