STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1729.0,"NEAR PRAGATI VIDYABHAWAN, AGARTALA",TRIPURA,28.5,1.33,8.84,384.67,33.51,Unsafe,,,"['pH', 'DO', 'BOD']"
1727.0,LAXMI NARAYAN BARI PALACE COMPOUND,TRIPURA,27.7,6.57,7.75,238.6,3.16,Unsafe,,,['BOD']
1728.0,"RUDRASAGAR, SONUMURA",TRIPURA,27.5,6.49,7.9,243.6,3.32,Unsafe,,,['BOD']
1404.0,GUMTI AT D/S SOUTH TRIPURA,TRIPURA,28.4,6.41,7.99,155.2,3.9,Unsafe,,,['BOD']
1726.0,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER",TRIPURA,27.4,6.48,7.97,168.2,4.2,Unsafe,,,['BOD']
