STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
2171.0,"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA,23.42,4.82,8.34,626.82,8.03,Unsafe,,,"['DO', 'BOD']"
1913.0,PURNA AT DHUPESHWAR,MAHARASHTRA,20.58,5.18,8.28,709.0,8.16,Unsafe,,,"['DO', 'BOD']"
2700.0,"PURNA NR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",MAHARASHTRA,20.0,5.0,9.0,785.0,13.0,Unsafe,,,"['pH', 'DO', 'BOD']"
1315.0,"NIRA AT PULGAON COTTON MILL, WARDHA",MAHARASHTRA,19.0,4.93,8.28,539.17,8.99,Unsafe,,,"['DO', 'BOD']"
2657.0,"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",MAHARASHTRA,28.9,6.59,8.17,816.85,4.35,Unsafe,,,['BOD']
2660.0,"DARNA RIVER AT CHEHEDI PUMPING STATION, NASHIK.",MAHARASHTRA,24.73,5.83,7.48,270.28,4.21,Unsafe,,,"['DO', 'BOD']"
2661.0,"DARNA RIVER AT ASWALI ( DARNA DAM), IGATPURI, NASHIK",MAHARASHTRA,24.42,6.4,7.56,186.71,3.23,Unsafe,,,['BOD']
2662.0,"DARNA AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",MAHARASHTRA,25.13,6.24,7.46,221.9,3.46,Unsafe,,,['BOD']
2663.0,"DARNAAT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK.",MAHARASHTRA,24.29,6.4,7.46,255.61,3.42,Unsafe,,,['BOD']
2664.0,"DARNA AT SANSARI, NASHIK.",MAHARASHTRA,24.75,6.03,7.38,251.1,3.67,Unsafe,,,['BOD']
2697.0,"PENGANGA NR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",MAHARASHTRA,18.92,5.69,8.22,908.17,5.79,Unsafe,,,"['DO', 'BOD']"
2698.0,"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",MAHARASHTRA,19.42,5.57,8.17,833.42,5.48,Unsafe,,,"['DO', 'BOD']"
2699.0,"PENGANGA AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA",MAHARASHTRA,21.14,4.44,8.26,939.88,9.79,Unsafe,,,"['DO', 'BOD']"
2722.0,"WENA RIVER  AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT",MAHARASHTRA,18.83,5.55,8.43,540.5,6.17,Unsafe,,,"['DO', 'BOD']"
2723.0,"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",MAHARASHTRA,18.91,4.83,8.2,643.33,9.34,Unsafe,,,"['DO', 'BOD']"
1194.0,KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA,23.11,5.87,7.73,140.12,4.2,Unsafe,,,"['DO', 'BOD']"
1153.0,KRISHNA AT RAJAPUR WEIR,MAHARASHTRA,27.17,6.62,7.53,497.18,3.11,Unsafe,,,['BOD']
36.0,"KRISHNA AT KRISHNA BRIDGE, KARAD",MAHARASHTRA,23.21,5.26,7.74,205.38,6.79,Unsafe,17.2602936,74.1756964,"['DO', 'BOD']"
1906.0,KRISHNA D/S OF ISLAMPUR,MAHARASHTRA,22.75,6.67,7.83,455.88,4.87,Unsafe,,,['BOD']
37.0,KRISHNA AT SANGLI,MAHARASHTRA,22.92,6.53,7.81,773.86,3.15,Unsafe,16.8523973,74.5814773,['BOD']
1310.0,KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA,27.17,6.57,7.57,556.13,3.58,Unsafe,16.708589,74.242142,['BOD']
2187.0,KRISHNA AT KSHETRA MAHULI.,MAHARASHTRA,21.65,4.87,7.86,435.18,7.27,Unsafe,17.6909313,74.0579185,"['DO', 'BOD']"
2188.0,"KRISHNA AT KRISHNA-VENNA SANGAM, MAHULI",MAHARASHTRA,21.12,4.99,7.97,407.81,6.87,Unsafe,17.6918199,74.0510836,"['DO', 'BOD']"
2190.0,KRISHNA RIVER AT WAI.,MAHARASHTRA,23.17,4.53,7.85,323.77,8.05,Unsafe,17.9486823,73.8918897,"['DO', 'BOD']"
