STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean
2073,"NARMADA MAIN CANAL, NR. VILLAGE. LIMBADIA, DIST. GANDHINAGAR.",GUJARAT,27.25,8.21,252
2074,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.",GUJARAT,29.42,8.08,482.58
1479,WESTERN YAMUNA CANAL AT HAIDERPUR WATER WORKS,DELHI,,,
1111,W.YAM. CANAL C-3 DELHI BRANCH AT R.D.245250,HARYANA,26.67,7.56,217.33
1112,"W.YAM. CANAL C-4 BEFORE ENTER INTO DELHI BRANCH,R.D.282628",HARYANA,25.67,7.76,263.33
1115,W.YAM. CANAL C-7 DELHI PARALLEL BRANCH AT KHUBRU FALL RD-145250,HARYANA,26.33,7.73,217.33
1116,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT,HARYANA,22,7.85,267.5
3034,W.YAMUNA CANAL-KHUBRU OUTFALL,HARYANA/CPCB,,8.15,259
1419,"GURGAON CANAL, GC-1,(NEAR BADARPUR BORDER)",HARYANA,26.5,7.95,1115
3461,"KANOLI CANAL AT ERANJIKKAL, KAZHEKODE",KERALA,26.56,7.32,16064
3467,"UNTHITHODU AT ELOOR, ERNAKULAM",KERALA,28.09,6.93,1614.78
3469,"PALAKKATTUTHAZHA-MTHODU AT PERUMBAVOOR, ERNAKULAM",KERALA,27.2,6.83,68.44
2836,"MORAMBAMARINE, DISTT. THOUBAL",MANIPUR,29,7.04,149.3
2428,JOBRA( ORIGIN OF TALAGANDA CNAL),ORISSA,27.8,7.92,173
2429,"NAUBAZAR, CUTTACK CITY",ORISSA,28.6,7.94,182.8
2430,"ATHARABANKI(WATER INTAKE POINT OF PPL, IFFCO & PPT)",ORISSA,29.2,7.83,572.07
2932,"NARMADA MAIN CANAL (BEFORE ENTERING IN RAJASTHAN STATE), TEHSIL SANCHORE, JALORE",RAJASTHAN,22.21,8.08,377.5
2933,"GANG CANAL AT KHAKKA HEAR NEAR HINDUMAL KOT, GANGANAGAR",RAJASTHAN,24.66,7.27,333.33
2934,MASITAWALA HEAD HANUMANGARH,RAJASTHAN,28.47,7.08,324.17
1729,"NEAR PRAGATI VIDYABHAWAN, AGARTALA",TRIPURA,28.5,8.84,384.67
2726,"UPPER GANGA CANAL D/S HARIKIPAURI, HARIDWAR",UTTARANCHAL,18.98,7.71,124.67
3035,UPPER GANGA CANAL-MURADNAGAR,UTTAR PRADESH/CPCB,,7.83,457
2512,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA NAGAR MOTIBRIDGE",WEST BENGAL,29.08,7.16,1196.25
2513,"KHARDA CANAL NORTH 24 PARGANAS, NEAR JAYSHREE CHEMICAL INDUSTRY",WEST BENGAL,28.04,7.08,916.75
3052,"GUNTATHIPPA DRAIN B/C WITH RYVES CANAL AT RAMAVARAPPADU,  KRISHNA",ANDHRA PRADESH,22.73,7,1736.36
3053,"TULIA BAGH DRAIN AT VEMULAVADA,  EAST GODAVARI",ANDHRA PRADESH,26.27,7.35,12023.3
3054,"OUTLET OF ASH POND EFFLUENTS OF M/S.NTPC, RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,29.67,9.51,1169
3055,"TREATED EFFLUENTS OF 339 MLD STP, AMBERPET, HYDERABAD BEFORE JOINING TO MUSI,  HYDERABAD",ANDHRA PRADESH,27.22,7.66,1501.27
3056,"OUTLET OF STP, LANGARHOUSE LAKE,  RANGA REDDY",ANDHRA PRADESH,27.25,7.93,1352
3057,"OUTLET OF STP, NAGOLE ON RIVER MUSI,  RANGA REDDY",ANDHRA PRADESH,27.6,7.86,1116.36
3058,"OUTLET OF STP, KHAIRATABAD ON HUSSAINSAGAR LAKE, RANGA REDDY",ANDHRA PRADESH,26.71,7.38,962
3059,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY",ANDHRA PRADESH,27.38,7.78,1631.7
3060,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY",ANDHRA PRADESH,24.43,8.12,1691.11
3061,"OUTLET OF STP, NALLACHERUVU ON MUSI,  RANGAREDDY",ANDHRA PRADESH,27.4,7.71,1733.5
3062,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY",ANDHRA PRADESH,27.7,7.68,1779.45
3063,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL,  ADILABAD",ANDHRA PRADESH,27.64,7.61,1573.64
3064,"OUTLET OF 4MLD STP ON RIVER GODAVARI AT RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,29.5,7.92,1408
3065,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,30.1,7.8,1189.1
3066,"OUTLET OF STP ON GODAVARI, BHADRACHALAM,  KHAMMAM",ANDHRA PRADESH,20.73,6.88,1114.36
3067,"OUTLET OF STP ON GODAVARI, RAJAHMUNDRY,  EAST GODAVARI",ANDHRA PRADESH,25.36,7.55,298.55
2047,N-CHOE (ATTAWA CHOE),CHANDIGARH,23.25,7.3,740.38
2048,PATIALA KI RAO,CHANDIGARH,23.25,7.56,944.5
2049,SUKHNA CHOE,CHANDIGARH,23.13,7.41,797
1379,"DRAIN NO. 8,PEOMANI HARI VILLAGE,SONEPAT",HARYANA,,,
2178,CHIKHALI NALLAH MEETS GODAVARI RIVER.,MAHARASHTRA,24.8,7.22,1079.33
2782,"RABODI NALLAH, RABODI, THANE",MAHARASHTRA,28.5,7.2,602.73
2783,"COLOUR CHEMICAL NALLAH, VILLAGE- MAJIWADA, THANE",MAHARASHTRA,28.5,7.37,4585
2784,"SANDOZ NALLAH, SANDOZBAUG, THANE",MAHARASHTRA,28.45,7.38,1290.47
2785,"BPT NAVAPUR (DISCHARGE FROM MIDC TARAPUR), NAVAPUR, PALGHAR, THANE",MAHARASHTRA,27.73,6.9,6627.64
2786,TARAPUR MIDC NALLA ( NEAR SUMP 1),MAHARASHTRA,27.64,6.25,3622.82
2787,"TARAPUR MIDC NALLA (NEAR SUMP 2), TARAPUR, PALGHAR, THANE",MAHARASHTRA,28,7,4714.56
2788,"TARAPUR MIDC NALLA (NEAR SUMP 3), MIDC TARAPUR, PALGHAR, THANE",MAHARASHTRA,28.2,5.22,6219.8
2789,"NALLA AT D/S ALKAI MANDIR, SOLAPUR, VILLAGE-ALKAI, TAL: MALSHIRAJ, DIST: SOLAPUR",MAHARASHTRA,33.67,7.77,1394.52
2790,PIMPAL-PANERI NALLA  AT RATNAGIRI NEAR FINOLEX INDUSTRIES AT YAHGANIGAON.,MAHARASHTRA,28.56,6.86,1272.96
1509,"ETAWAH DRAIN, ETAWAH",UTTAR PRADESH,,,
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,31,7.2,52
1475,ZUARI AT PANCHAWADI,GOA,29.5,6.82,408.25
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,30.17,6.89,143.01
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,28.83,7.22,60.05
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29,7.21,34.42
1476,"MANDOVI AT TONCA, MARCELA",GOA,28.5,6.7,125.01
3185,MANDOVI AT AMONA BRIDGE,GOA,28.17,6.72,175.18
3186,RIVER MANDOVI AT IFFI JETTY,GOA,29.67,7.73,38.66
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,29.83,7.76,39.31
1543,KALNA AT CHANDEL- PERNEM,GOA,27.25,6.86,60.53
1548,RIVER ASSONORA AT ASSONORA,GOA,28.13,6.57,71.01
2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29.42,6.51,129.36
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.33,6.76,503
3189,RIVER CHAPORA AT SIOLIM,GOA,29,7.52,31.15
1546,KHANDEPAR AT OPA - PONDA,GOA,28.5,6.75,70.06
2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,29.67,6.76,69.23
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.33,6.6,117.99
1545,RIVER MADAI AT DABOS -  VALPOI,GOA,28.25,6.79,80.39
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,GOA,29.42,6.56,250.01
2271,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",GOA,28.42,6.9,74.45
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.92,7.3,44.01
3183,"SAL AT KHAREBAND, MARGAO",GOA,30.17,6.48,195.03
3184,"SAL AT ORLIM BRIDGE, ORLIM",GOA,31.17,6.79,206.89
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,29.33,7.65,40
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,29.67,7.63,41.06
1547,RIVER TALPONA AT CANACONA,GOA,28.88,6.93,54.11
3188,RIVER TIRACOL AT TIRACOL,GOA,29.17,7.72,43.82
1544,VALVANT AT SANKLI - BICHOLIM,GOA,29.25,6.54,59.79
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,31,7.75,150.5
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,28.17,7.39,318.83
1865,RIVER DHADAR AT KOTHADA,GUJARAT,27,8.38,894
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,GUJARAT,30.25,7.98,1835.25
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,30.5,7.74,3164.58
1149,KOLAK AT PATALIA BDG,GUJARAT,29,7.55,1500
1885,GHAGGAR AT D/S OF SURAJPUR,HARYANA,,7.99,414
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,21.33,7.38,635
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,24,7.4,1050.5
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,21.33,7.28,635.5
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",PUNJAB,23.67,7.43,993
1698,"GHAGGAR AT D/S CHHATBIR, PUNJAB",PUNJAB,21.33,7.48,631.75
1699,GHAGGAR AT U/S DHAKANSU NALLAH,PUNJAB,17.5,7.4,972.67
1700,GHAGGAR AT D/S DHAKANSU NALLAH,PUNJAB,22.33,7.5,1155.5
1701,GHAGGAR AT D/S JHARMAL NADI,PUNJAB,22,7.4,903.5
1702,GHAGGAR AT U/S JHARMAL NADI,PUNJAB,21.33,7.4,1110.25
1703,GHAGGAR AT MOONAK,PUNJAB,24,7.43,1289.5
1704,GHAGGAR AT D/S SARDULGARH,PUNJAB,22.33,7.43,989.75
1705,GHAGGAR AT U/S SARDULGARH,PUNJAB,22.33,7.35,914
1025,"GHAGGAR GH-1 AT ROAD BRDG. SIRSA,DEBWALI ROAD",HARYANA,,7.9,1808
1026,GHAGGAR GH-2 AT CHANDARPUR SYPHON,HARYANA,,7.78,1302
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),HARYANA,,7.96,1286
1718,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,RAJASTHAN,32.7,7.48,280
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",HIMACHAL PRADESH,19.92,7.41,344
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,20.23,7.01,310.15
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,19.64,7.71,302.82
1884,KALA AMB D/S MARKANDA RIVER,HARYANA,20,7.5,1630
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,18.06,7.51,787.5
2947,"JAWAI AT JAWAI DAM, SIROHI",RAJASTHAN,23.92,8.28,468.33
1717,"KODRA DAM, MOUNT ABU",RAJASTHAN,19.42,7.29,234.17
2948,"BANDI AT HEMAWAS DAM, PAL",RAJASTHAN,23.43,8.04,527.14
2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI",RAJASTHAN,23.58,7.91,795.83
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,22.63,7.38,387.5
1342,ACHENKOIL AT THUMPAMON,KERALA,25.6,7.18,78.83
1443,ACHENKOIL AT CHENNITHULA,KERALA,26.35,7,66.84
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,25.99,7.29,59.22
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,26.31,7.26,66.33
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.25,6.97,67.2
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.15,6.65,5340.6
2286,R AYROOR AT AYROOR BRIDGE,KERALA,28.81,7.33,89
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28.05,7.28,135.6
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,27.65,8.1,212.1
1154,CHALAKUDY AT PULICKALKA-DAVU,KERALA,28.52,6.32,133.75
20,CHALIYAR AT KOOLIMADU,KERALA,25.92,7.22,75.92
21,CHALIYAR AT CHUNGAPALLY,KERALA,26,7.28,11041.1
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,27.56,7.06,75
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,28.64,7.15,60.8
1573,CHITRAPUZHA AT IRUMPANAM,KERALA,28.49,6.57,768.9
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.4,7.52,14082.6
1564,"R ITHIKKARA AT AYUR, KERALA",KERALA,26.38,7.17,91.84
2287,R ITHIKKARA AT ITHIKKARA,KERALA,24.76,7.23,1347.6
1566,R KADALUNDI AT THIRURANGADY,KERALA,29.3,6.65,95.4
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,29.15,6.78,78.1
2337,KADAMBAYAR AT BRAHMAPURAM,KERALA,27.76,6.69,268.08
2338,KADAMBAYAR AT MANCKAKADAVU,KERALA,27.17,6.61,82.25
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",KERALA,24.94,7.18,61.37
2294,R KALLAI AT KALLAI BRIDGE,KERALA,25.9,7.58,30297.9
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA,27.44,8.03,309.78
3458,KARAPUZHA DAM AT WAYANAD,KERALA,27.4,7.14,97
1571,R KARINGODE AT KAKKADAVU,KERALA,28.82,6.99,51.33
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,28.75,7.12,1716.75
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",KERALA,28.64,7.36,54.57
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA,29.2,6.79,66.6
2301,R KAVVAI AT KUTTIYOL PALAM,KERALA,27.4,6.67,60.5
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA,30.05,6.89,81
2326,R KORAYAR AT KANJIKODE,KERALA,27.4,8,510.1
1569,R KUPPAM AT THALIPARAMBA,KERALA,26.6,6.94,12150.4
2298,R KUPPAM AT RAYAROM,KERALA,25.3,7.16,49.5
1567,R KUTTIYADE AT KUTTIYADY ESTATE,KERALA,25.3,6.93,33.9
1568,"R MAHE AT VALAYAM, KERALA",KERALA,25.9,7.36,72.1
2285,R MAMOM AT MAMOM BRIDGE,KERALA,28.63,7.31,99
1340,MANIMALA  AT KALLOOPARA,KERALA,27.3,6.92,124.8
1384,MANIMALA AT THONDRA,KERALA,27.35,6.85,115.6
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",KERALA,26.61,7.32,106.67
2307,R MANJESWAR AT BAJRAKKARA BR.,KERALA,28.44,7.18,85.12
1339,MEENACHIL AT KIDANGOOR,KERALA,26.47,7.07,58.49
2304,R MOGRAL AT MOGRAL BR.,KERALA,28.51,7.26,13197.2
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,KERALA,26.95,7.05,58.42
2302,R NEELASWARAM AT NAMBIARKAL DAM,KERALA,28.4,6.93,3453.3
1570,R NEELESWARAM AT HOSDURG,KERALA,28.69,7.03,14369.3
1563,R NEYYAR AT AMARAVILA,KERALA,28.38,7.34,70.25
2284,R NEYYAR AT ARUVIPURAM,KERALA,28.6,7.26,59.5
2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.73,7.2,97.49
1156,PAMBA AT CHENGANNUR,KERALA,27.5,6.98,62.84
1341,PAMBA AT THAKAZHY,KERALA,28,7.07,113
1565,PAMBA DOWN,KERALA,28,7.21,79.4
17,PERIYAR NEAR ALWAYE-ELOOR,KERALA,28.38,6.87,1788.83
18,PERIYAR AT KALADY,KERALA,27.47,7.18,35.5
1338,PERIYAR AT SEWAGE DISCHARGE POINT,KERALA,27.64,6.96,59.33
2333,PERIYAR AT MUPPATHADAM,KERALA,28.38,6.92,114.3
2334,RIVER PERIYAR AT PATHALAM,KERALA,28.08,6.78,1108.42
2335,R PERIYAR AT KALAMASSERY,KERALA,28.32,6.71,88
2336,R PERIYAR AT PURAPPALLIKAVU,KERALA,28.34,6.9,1686
3468,"PERIYAR AT KWA INTAKE- ALUVA, ERNAKULAM",KERALA,27.92,6.89,44.67
2300,PERUVAMBA AT CHANDAPPURA,KERALA,26.35,6.63,55.7
2303,R PULLUR AT PULLUR BR.,KERALA,28.31,6.28,48.91
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,29.45,6.63,169.3
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,27.9,6.54,19574.7
2305,R SHRIYA AT ANGADIMOGARU,KERALA,28.11,7.14,62.67
2296,THALLASSERY AT PATHIPPALAM,KERALA,26.2,6.66,69
2292,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA,29.15,6.6,6380.8
2306,R UPPALA AT  UPPALA BR.,KERALA,28.9,7.24,9325.8
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",KERALA,26.61,7.06,15158.2
1442,VAMANAPURAM,KERALA,29.06,7.25,73.88
1391,"HUSSAIN SAGAR LAKE, BUDAMERU",ANDHRA PRADESH,28.82,7.51,1439.36
1447,DHARMASAGAR TANK NEAR WARANGAL,ANDHRA PRADESH,27,7.69,307.09
1464,BIBINAGAR TANK,ANDHRA PRADESH,28.18,8.01,1404.55
1780,"GANDIGUDEM ,MEDAK",ANDHRA PRADESH,28.41,7.39,4119.73
1783,"KISTAREDDYPET TANK , MEDAK",ANDHRA PRADESH,28.61,7.84,8321.22
1788,"SAROONAGAR , RANGA REDDY",ANDHRA PRADESH,27.4,7.65,1553.2
1789,"HIMAYAT SAGAR LAKE , R.R.",ANDHRA PRADESH,27.67,8.06,422.44
1790,"PULICATE LAKE ,  NELLORE",ANDHRA PRADESH,28.82,7.59,48005.5
2340,"LAXMINARAYANA CHEVURU AT EDULABAD,RANGAREDDY",ANDHRA PRADESH,27.18,7.73,1485.36
2341,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",ANDHRA PRADESH,28.64,7.66,1487.18
2342,"NOOR MD. KUNTA, KATTEDAN, RANGAREDDY",ANDHRA PRADESH,27.09,7.75,2422
2343,"PREMAJIPET TANK, KATTEDAN, RANGAREDDY",ANDHRA PRADESH,27.73,5.07,7703.73
2344,"NALLA CHEVURU,RANGAREDDY",ANDHRA PRADESH,26.36,7.56,1580.45
2345,"SAI CHEVURU, NEAR TANNERY INDUSTRIES, DESAIPET, WARANGAL",ANDHRA PRADESH,28.36,7.83,33683.6
2346,"BHADRAKALI CHEVURU, BHADRAKALI TEMPLE, WARANGAL",ANDHRA PRADESH,26.82,7.86,456.09
2347,"ASANI KUNTA,KAJIPALLY,MEDAK",ANDHRA PRADESH,28.5,7.38,11652.7
2348,"KAJIPALLY TANK,MEDAK",ANDHRA PRADESH,29,7.24,5060.25
2353,"KONDACHARLA-AAVA LAKE,PARAWADA PHARMA CITY,VISHAKHAPATNAM",ANDHRA PRADESH,27.09,7.61,923.55
2357,DURGAM CHEVURU,ANDHRA PRADESH,26.11,7.4,1383.8
2358,MALLAPUR TANK,ANDHRA PRADESH,26.82,7.89,1821.27
2359,PEDDA CHEVURU,ANDHRA PRADESH,26.91,7.75,2373.73
3068,"RAMAPPA LAKE,  WARANGAL",ANDHRA PRADESH,26.91,7.76,290.36
3069,"SHAMEERPET LAKE, SHAMEERPET, RANGA REDDY",ANDHRA PRADESH,27,7.64,900.2
3070,"FOX SAGAR, JEEDIMETLA,  RANGA REDDY",ANDHRA PRADESH,26.9,7.72,1681
3071,"LANGARHOUSE LAKE, HYDERABAD",ANDHRA PRADESH,27.13,7.55,1047.78
3072,"SAFILGUDA LAKE,  RANGA REDDY",ANDHRA PRADESH,27.13,7.61,1594.67
3073,"HASMATHPET LAKE, HASMATHPET,  RANGA REDDY",ANDHRA PRADESH,26.86,7.53,1623.44
3074,"BANJARA LAKE, BANJARA HILLS,  RANGA REDDY",ANDHRA PRADESH,27.83,8.02,744
3075,"RANGADHAMUNI CHERUVU,  RANGA REDDY",ANDHRA PRADESH,27.25,7.6,1260
3076,"AMBER CHERUVU, KUKATPALLY,  RANGA REDDY",ANDHRA PRADESH,26.17,7.54,1672.5
3077,"KAPRA CHERUVU, KAPRA,  RANGA REDDY",ANDHRA PRADESH,26.56,7.75,1480.3
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY,  RANGA REDDY",ANDHRA PRADESH,28.5,7.75,1276.25
3084,"WADDEPALLY TANK, KAZIPET,  WARANGAL",ANDHRA PRADESH,27.3,7.81,512.4
3085,"CHINNA WADDEPALLY TANK,  WARANGAL",ANDHRA PRADESH,28.82,7.79,1658.36
3086,"SAKI TANK, PATANCHERU,  RANGA REDDY",ANDHRA PRADESH,28.18,8.14,1562.64
1388,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,KARNATAKA,29,7.78,506
1446,HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA,KARNATAKA,26,7.45,458
1383,ORUVATHILKOTTA LAKE,KERALA,29.31,7.28,796.25
1385,SASTHAMCOTTA LAKE,KERALA,26.64,6.95,65.36
1441,ASHTHAMUDI LAKE AT QUILON,KERALA,25.12,7.39,38810
1574,PARAVUR,KERALA,26.85,7.27,19713.8
1575,KOCHI (OIL TANKER JETTY),KERALA,28.43,7.52,23207.2
1576,THEKKADY,KERALA,25.09,7.5,61.6
1577,KODUNGALLOOR,KERALA,28.45,7.31,16191.1
1578,KAYAMKULAM,KERALA,27.4,7.09,24500
1579,ALAPPUZHA,KERALA,27.5,6.76,1614.9
1580,POOKOTE,KERALA,25.52,6.91,27.6
2312,LAKE VEMBANADU AT PATHIRAMANAL (ALAPPUZHA),KERALA,27.9,6.81,1327.9
2318,PAZHASSI RESERVOIR (KANNUR),KERALA,27.75,7.15,62.1
2325,POND AT (PADMANABHA) SREE PADMANABHA SWAMY TEMPLE (TVPM),KERALA,28.75,7.69,250.42
2328,RSVR AT MALAMPUZHA,KERALA,27.05,7.87,124.5
2329,RSVR AT BHOOTHATHANKETU,KERALA,27.36,7.27,30.5
2330,RSVR AT EDAMALAYAR,KERALA,28.16,7.32,29.4
3462,MANANCHIRA POND AT KOZHEKODE,KERALA,25.89,7.36,83.89
3470,"VELLAYANI LAKE AT VANDITHADOM, THIRUVANANTHAPURAM",KERALA,29,7.33,198
1396,OSTERI LAKE,PONDICHERRY,27.5,8.19,351
1686,BAHOUR LAKE,PONDICHERRY,27.5,7.82,522.5
1420,KODAI KANAL LAKE,TAMILNADU,20.55,7.37,96.29
1421,UDHAGAMADALEM LAKE (OOTY),TAMILNADU,17.42,7.2,424.08
1452,"YERCAUD LAKE, SALEM",TAMILNADU,23.83,7.85,300.25
3007,VEERANAM LAKE AT CUDDALORE,TAMILNADU,31,8.41,726.5
3008,POONDI LAKE AT THIRUVALLUR,TAMILNADU,,8.32,565.33
3009,REDD HILLS AT THIRUVALLUR,TAMIL NADU,,8.42,658.09
3010,PORUR LAKE AT THIRUVALLUR,TAMILNADU,26.57,8.52,561.42
3011,PULICATE LAKE AT THIRUVALLUR,TAMILNADU,,7.94,41635
2205,MER BEEL AT MADHABPUR,ASSAM,23,6.5,92
2206,DALONI BEEL NEAR JOGIGHOPA,ASSAM,24.5,7.33,148.25
1263,ELANGABEEL SYSTEM POND (CONNECTED TO R. KOLANG),ASSAM,31.75,10.08,2122.5
2207,BOR BEEL AT JAKAI.,ASSAM,22.25,6.53,104.5
2208,"BORPUKHURI, NAZIRA",ASSAM,24,6.98,32.75
2209,"GAURISAGAR TANK, GAURISAGAR",ASSAM,24,6.88,20.25
2210,"RAJMAW PUKHURI, JORHAT",ASSAM,24.75,7.08,78
2211,"PADUMPUKHURI, TEZPUR",ASSAM,23.75,7.8,283.25
2212,"GOPHUR TANK, GOPHUR",ASSAM,24.25,6.93,114
2213,"JAIPAL PUKHURI, SIPAJHAR",ASSAM,23.75,6.8,25.25
2214,"BOTODRIVA SATRA POND, NAGAON",ASSAM,26.67,6.83,27.33
2215,SARAN BEEL,ASSAM,29,7,119
2216,"DIGHALI PUKHURI, GUWAHATI",ASSAM,27,7.83,174.75
2217,"SUBHAGYA KUNDA POND KAMAKHYA TEMPLE, GUWAHATI",ASSAM,19.08,7,395.5
2218,"DEEPAR BEEL AT BORAGAON NEAR IASST, GUWAHATI",ASSAM,26.25,7.05,263
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO",ASSAM,26.75,7.65,235.25
2220,"CHAND DUBI BEEL, CHAND DUBI",ASSAM,27.75,6.93,34.25
2221,"GANGA PUKHURI, NALBARI (GORDON SCHOOL)",ASSAM,28.25,7,53.5
2222,RAJADINIA PUKHURI AT ABHAYAPURI,ASSAM,25,7.53,45
2223,MAHAMAYA MANDIR PUKHURI,ASSAM,27,7.23,92.5
2224,RAJAPUKHURI AT GAURIPUR,ASSAM,27.5,7.4,73.25
2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI",ASSAM,13.25,7.15,150.25
2226,SIVASAGAR TANK (BORPUKHURI) NEAR SIVADOL,ASSAM,24.25,6.7,21
2227,"HORDAI PUKHURI, CHARAIDEW",ASSAM,24.25,6.73,25
2228,GALA BEEL AT DERGAON,ASSAM,31.25,6.93,134.5
1532,"*GOYSAGAR TANK, SIBSAGAR",ASSAM,23,6.7,20
1425,LOKTAK LAKE AT THANA,MANIPUR,29,7.44,108
1426,LOKTAK LAKE AT BISHNUPUR,MANIPUR,28.6,7.15,128.7
1629,SENDRA (LOKTAK LAKE),MANIPUR,29.4,7.54,101.34
1630,"KARANG,ISLAND (LOKTAK LAKE)",MANIPUR,29.8,7.24,119.6
2837,"PUMLEN LAKE AT TOKPACHING, DISTT. THOUBAL",MANIPUR,29,7.13,189.08
2839,"PUKHRI AT LANGMEIDONG, DISTT. THOUBAL",MANIPUR,30,7.54,195.04
2840,"LAMJAO PUKHURI AT ACHOUBA, DISTT. THOUBAL",MANIPUR,29,7.44,194.36
2841,HIRANMEI PUKHURI AT THOUBAL,MANIPUR,29.4,7.34,237.2
2842,LANGMEIDONG PUKHURI AT THOUBAL,MANIPUR,30.2,7.58,167.6
2843,"POND AT LALAMBUNG, IMPHAL WEST",MANIPUR,29.2,7.58,415.48
2844,LILONG PUKHURI AT IMPHAL WEST,MANIPUR,29.4,7.68,342.2
