STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean
1195.0,CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI),KARNATAKA,25.67,7.13,7.69,105.42,1.08
33.0,"CAUVERY AT KRS DAM, BALAMURIKSHETRA",KARNATAKA,26.08,7.1,8.13,217.17,1.17
1386.0,CAUVERY AT D/S OF KAREKUARA,KARNATAKA,26.33,7.2,8.29,255.83,1.17
1171.0,"CAUVERY AT SRIRANGA PATTANNA, D/S OF ROAD BDG",KARNATAKA,26.67,6.08,7.86,305.67,2.67
34.0,CAUVERY AT SATHYAGALAM BRIDGE,KARNATAKA,26.75,6.67,7.88,303.83,1.83
2773.0,CAUVERY AT BANNUR BRIDGE,KARNATAKA,27.42,11.76,7.94,364.58,1.92
2774.0,CAUVERY AT RANGANATHITTU,KARNATAKA,25.67,6.47,8.0,268.92,2.0
50.0,CAUVERY AT METTUR,TAMILNADU,30.25,6.24,7.9,476.58,1.12
1322.0,CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL.,TAMILNADU,27.83,5.36,7.88,430.83,1.1
51.0,CAUVERY AT PALLIPPALAYAM,TAMILNADU,26.92,5.6,7.79,479.08,1.49
1320.0,CAUVERY AT ERODE NEAR CHIRAPALAYAM,TAMILNADU,29.0,4.88,7.85,527.0,3.53
1323.0,CAUVERY AT VELORE NEAR KATTIPALAYAM,TAMILNADU,26.08,7.12,7.97,518.5,1.31
3015.0,"CAUVERY AT PUGALUR, KARUR",TAMILNADU,30.0,6.77,7.89,672.17,1.2
1324.0,CAUVERY AT MOHANUR NEAR PATTAIPALAYAM,TAMILNADU,25.92,5.88,7.87,548.33,1.77
1451.0,CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVAT,TAMILNADU,29.67,7.06,8.11,637.17,0.72
31.0,CAUVERY AT MUSIRI,TAMILNADU,28.42,6.99,7.99,651.67,1.12
3016.0,"CAUVERY AT PETTAIVAITHALAI, TRICHY",TAMILNADU,28.5,6.78,7.92,684.42,1.19
1202.0,CAUVERY AT TIRUCHIRAPPALLI U/S,TAMILNADU,28.25,7.08,7.93,589.33,1.09
1325.0,CAUVERY AT TIRUCHIRAPPALLI D/S,TAMILNADU,28.0,5.62,7.74,819.83,2.12
