STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean
2663.0,"DARNAAT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK.",MAHARASHTRA,24.29,6.4,7.46,255.61,3.42
2664.0,"DARNA AT SANSARI, NASHIK.",MAHARASHTRA,24.75,6.03,7.38,251.1,3.67
2697.0,"PENGANGA NR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",MAHARASHTRA,18.92,5.69,8.22,908.17,5.79
2698.0,"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",MAHARASHTRA,19.42,5.57,8.17,833.42,5.48
2699.0,"PENGANGA AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA",MAHARASHTRA,21.14,4.44,8.26,939.88,9.79
2722.0,"WENA RIVER  AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT",MAHARASHTRA,18.83,5.55,8.43,540.5,6.17
2723.0,"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",MAHARASHTRA,18.91,4.83,8.2,643.33,9.34
1194.0,KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA,23.11,5.87,7.73,140.12,4.2
1153.0,KRISHNA AT RAJAPUR WEIR,MAHARASHTRA,27.17,6.62,7.53,497.18,3.11
36.0,"KRISHNA AT KRISHNA BRIDGE, KARAD",MAHARASHTRA,23.21,5.26,7.74,205.38,6.79
1906.0,KRISHNA D/S OF ISLAMPUR,MAHARASHTRA,22.75,6.67,7.83,455.88,4.87
37.0,KRISHNA AT SANGLI,MAHARASHTRA,22.92,6.53,7.81,773.86,3.15
1310.0,KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA,27.17,6.57,7.57,556.13,3.58
2187.0,KRISHNA AT KSHETRA MAHULI.,MAHARASHTRA,21.65,4.87,7.86,435.18,7.27
2188.0,"KRISHNA AT KRISHNA-VENNA SANGAM, MAHULI",MAHARASHTRA,21.12,4.99,7.97,407.81,6.87
2190.0,KRISHNA RIVER AT WAI.,MAHARASHTRA,23.17,4.53,7.85,323.77,8.05
1182.0,KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA,25.64,6.55,8.51,689.09,2.07
1889.0,KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNATAKA,24.82,6.76,8.52,668.18,1.88
1181.0,KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA,27.86,5.47,8.16,440.0,1.5
2781.0,KRISHNA AT D/S OF ALAMATTI DAM,KARNATAKA,27.77,5.65,8.19,460.0,1.7
1784.0,"KRISHNA AT THANGADI , MAHABOOBNAGAR",ANDHRA PRADESH,28.45,6.75,7.99,766.46,8.78
1175.0,"KRISHNA A/C TUNGABHADRA, SANGAMESHWARAM",ANDHRA PRADESH,27.64,6.3,7.92,372.27,2.36
39.0,KRISHNA AT GADWAL BRIDGE,ANDHRA PRADESH,28.09,6.45,7.97,762.09,8.4
1465.0,"KRISHNA AT WADAPALLY A/C WITH R. MUSI, A.P.(SHIFTED FROM 1220)",ANDHRA PRADESH,27.82,5.7,8.29,587.46,3.27
1786.0,"KRISHNA AT VEDADRI , GUNTUR",ANDHRA PRADESH,23.45,6.75,7.65,666.82,0.54
1787.0,"KRISHNA AT AMARAVATI , GUNTUR",ANDHRA PRADESH,26.73,6.28,7.49,578.91,0.54
25.0,KRISHNA AT VIJAYWADA,ANDHRA PRADESH,22.18,6.61,7.66,563.73,0.53
3079.0,"D/S OF KRISHNA A/C WITH TREATED SEWAGE DISCHARGING FROM 10MLD STP LOCATED AT RAMALINGESHWARNAGAR, VIJAYAWADA,  KRISHNA",ANDHRA PRADESH,20.0,2.4,6.9,1376.33,0.77
3083.0,"KRISHNA D/S OF SRISHAILAM,  KURNOOL",ANDHRA PRADESH,28.33,6.03,7.82,419.0,1.81
1782.0,"KRISHNA AT HAMSALA DEEVI , GUNTUR",ANDHRA PRADESH,20.73,5.61,7.37,3646.91,0.56
1281.0,MAHANADI AT HIRAKUD RSVR,ORISSA,26.92,7.29,7.92,179.33,1.33
1270.0,MAHANADI AT SAMBALPUR U/S,ORISSA,26.92,7.75,7.98,179.5,1.64
1271.0,MAHANADI AT SAMBALPUR D/S,ORISSA,27.25,6.86,8.02,195.58,2.81
2405.0,SAMBHALPUR FDS AT HUMA,ORISSA,27.5,7.31,7.95,185.17,1.8
1272.0,MAHANADI D/S (A/C R. SONG SONEPUR U/S),ORISSA,28.92,8.03,7.27,185.75,1.47
1274.0,MAHANADI A/C WITH R.TEL (SONEPUR D/S),ORISSA,29.0,7.7,8.14,209.42,1.95
1275.0,MAHANADI AT TIKARPADA,ORISSA,27.58,8.27,7.77,181.25,1.4
1276.0,MAHANADI AT NARSINGHPUR,ORISSA,28.25,7.99,8.14,198.75,1.28
1277.0,MAHANADI AT CUTTACK U/S,ORISSA,28.83,8.23,8.08,188.92,1.5
1278.0,MAHANADI AT CUTTACK D/S,ORISSA,29.67,7.7,8.03,188.58,2.54
2409.0,CUTTACK FDS (SERUA) AT SANKHATRASA,ORISSA,28.5,7.88,8.02,195.92,2.54
2406.0,MUNDALI(WATER INTAKE POINT OF BHUBANESWAR CITY,ORISSA,27.25,7.86,8.07,180.92,1.41
2404.0,POWER CHANNEL D/S NEAR BURLA,ORISSA,26.5,7.1,8.04,174.08,1.7
2407.0,PARADEEP U/S (BEFORE INDL ACTIVITY AT PARADEEP),ORISSA,29.5,7.71,7.97,6571.58,1.54
1639.0,MAHANADI AT PARADEEPD/S,ORISSA,29.0,7.33,8.05,18179.3,2.2
1232.0,MAHI D/S CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.),RAJASTHAN,26.71,5.24,8.03,556.67,1.47
1864.0,MAHI AT MUJPUR,GUJARAT,26.0,7.8,8.45,1276.0,1.8
4.0,MAHI AT SEVALIA,GUJARAT,26.75,8.8,8.24,358.5,2.33
1233.0,MAHI AT BADNAWAR,MADHYA PRADESH,24.0,8.0,7.6,400.0,1.6
1448.0,NAGAVALLI AT THOTAPALLI REGULATOR,ANDHRA PRADESH,26.64,5.98,7.63,429.27,1.13
2352.0,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,27.0,5.95,7.79,308.0,1.13
3080.0,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,19.83,5.83,7.39,504.75,0.58
3081.0,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,23.5,6.12,7.46,464.83,0.53
1444.0,KALI AT D/S WEST COAST PAPER MILL,KARNATAKA,28.0,6.43,7.13,182.5,2.3
2780.0,"KALI AT U/S OF WCPM, DANDELI",KARNATAKA,26.5,7.13,7.35,135.0,1.88
2423.0,"BUDHABALANGA, D/S OF BARIPADA TOWN",ORISSA,22.33,7.82,7.9,212.58,1.45
2424.0,BUDHABALANGA AT BALASORE D/S,ORISSA,22.25,7.69,8.06,312.17,1.97
2425.0,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ORISSA,23.5,6.88,7.62,98.66,1.63
2422.0,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ORISSA,27.17,7.33,8.03,230.08,1.63
1642.0,NAGAVALLI AT JAYKAYPUR D/S,ORISSA,26.08,6.81,8.13,263.5,2.58
1643.0,NAGAVALLI AT RAYAGADA D/S,ORISSA,25.25,7.15,8.1,271.83,3.14
1455.0,RUSHIKULYA AT GANJAM U/S,ORISSA,28.0,7.98,8.3,311.83,1.44
1456.0,RUSHIKULYA AT GANJAM D/S,ORISSA,28.75,8.15,7.98,19595.1,1.95
2426.0,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINA PROJECT),ORISSA,25.83,7.0,7.98,198.92,1.83
2427.0,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ORISSA,27.67,7.17,8.05,201.08,1.64
1450.0,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,TAMILNADU,26.75,6.76,7.46,890.42,2.08
1159.0,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,23.33,7.27,7.56,159.99,1.86
1160.0,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",TAMILNADU,25.25,7.02,7.69,110.56,2.17
1161.0,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",TAMILNADU,26.0,6.7,7.66,139.07,3.14
1162.0,TAMBIRAPARANI AT MURAPPANADU,TAMILNADU,29.0,7.18,7.22,287.88,2.06
1328.0,TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU,24.17,6.98,7.11,95.23,1.91
1329.0,TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM,TAMILNADU,23.5,7.04,7.48,84.26,1.7
1330.0,TAMBIRAPARANI AT ARUMUGANERI,TAMILNADU,29.0,7.44,7.0,3101.4,15.56
3025.0,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",TAMILNADU,29.0,7.19,7.3,509.8,2.92
3026.0,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",TAMILNADU,24.42,7.07,7.4,87.88,1.82
3027.0,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",TAMILNADU,29.0,7.23,6.92,338.16,3.77
3028.0,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",TAMILNADU,26.42,6.68,7.65,162.41,3.25
3029.0,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",TAMILNADU,26.83,6.68,7.58,181.9,4.15
3023.0,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",TAMILNADU,31.75,0.23,7.25,2219.08,185.78
2267.0,"CREEK AT DANDO MOLLO,VELSAO, MAMUGAO",GOA,30.22,6.5,6.74,124.69,1.62
2081.0,AMLAKHADI CREEK AT PUNGAM.,GUJARAT,30.5,1.99,7.74,3164.58,32.31
1316.0,BASSEIN CREEK AT BASSIN IN THANE,MAHARASHTRA,25.42,5.38,7.8,36176.0,9.08
1318.0,MAHIM CREEK AT MAHIM BAY,MAHARASHTRA,28.7,4.5,7.48,40025.3,12.12
1317.0,THANE CREEK AT ELEPHANTA ISLAND,MAHARASHTRA,28.75,5.08,7.73,50655.8,10.08
2793.0,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",MAHARASHTRA,28.25,3.43,7.41,16482.9,21.61
2791.0,"ULHAS CREEK AT RETI BUNDER, D/S OF KALYAN- BHIWANDI BDG",MAHARASHTRA,27.73,4.53,7.17,5798.36,18.55
2792.0,"ULAHS CREEK AT MUMBRA RETI BUNDER, VILLAGE MUMBRA, THANE",MAHARASHTRA,28.08,4.65,7.52,21734.8,11.48
2794.0,"ULHAS CREEK AT KOSHLET RETI BUNDER, KOLSHET, THANE",MAHARASHTRA,28.5,5.4,7.37,17271.6,9.5
2795.0,"ULHAS CREEK AT GAIMUKH AT NAGLA BUNDER ON GHOD BUNDER ROAD, NAGLA, THANE",MAHARASHTRA,28.42,4.88,7.59,24135.6,10.08
2796.0,"ULHAS CREEK AT VERSOVA BRIDGE, VERSOVA, VASAI, THANE",MAHARASHTRA,25.5,5.24,7.71,30131.9,9.48
2184.0,VASHI CREEK AT AIROLI BRIDGE.,MAHARASHTRA,26.64,4.78,7.55,30980.2,8.49
2185.0,VASHI CREEK AT VASHII BRIDGE.,MAHARASHTRA,28.33,5.13,7.42,37849.3,9.18
2797.0,"BHAYANDER CREEK AT D/S OF RAILWAY BRIDGE, JASAL PARK CHOUPATHY, NAVGHAR, BHAYANDER, THANE",MAHARASHTRA,25.33,5.5,7.78,33200.8,8.88
2798.0,"KHAREKURAN MURBE CREEK, KHAREKURAN, PALGHAR, THANE",MAHARASHTRA,27.58,4.22,7.6,48643.4,12.18
2799.0,"DANDI CREEK, DANDI, PALGHAR, THANE",MAHARASHTRA,27.64,4.49,7.6,55022.7,10.04
2800.0,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",MAHARASHTRA,27.58,4.88,7.88,10203.7,8.68
2801.0,"SAVTA CREEK, SAVTA, DAHANU, THANE",MAHARASHTRA,27.75,5.44,8.01,36781.8,8.25
2802.0,DAHANU CREEK AT DAHANU FORT,MAHARASHTRA,27.83,5.5,8.03,36643.8,8.74
2803.0,"PANVEL CREEK AT KOPRA BRIDGE, KOPRA, PANVEL, RAIGAD",MAHARASHTRA,29.18,4.87,6.9,19209.8,9.7
2804.0,KARAMBAVANE CREEK AT CHIPLUN.,MAHARASHTRA,23.25,6.55,7.32,3484.4,2.75
2165.0,SEA WATER AT GATEWAY OF INDIA.,MAHARASHTRA,28.73,4.61,7.69,52860.0,10.72
2166.0,SEA WATER AT CHARNI ROAD CHOUPATHY.,MAHARASHTRA,27.0,4.72,7.66,51690.0,10.68
2167.0,SEA WATER AT WORLI SEA FACE.,MAHARASHTRA,28.75,4.86,7.71,50894.2,10.42
2169.0,SEA WATER AT VERSOVA.,MAHARASHTRA,25.5,4.41,7.79,50604.9,11.64
2805.0,"ARNALA SEA, ARNALA, VASAI, THANE",MAHARASHTRA,25.33,5.18,7.94,46329.5,9.5
2806.0,"UTTAN SEA, UTTAN, BHAYANDER, THANE",MAHARASHTRA,25.42,5.52,7.98,46166.4,10.11
2807.0,"NAVAPURA SEA, NAVAPUR, PALGHAR, THANE",MAHARASHTRA,27.58,4.13,7.71,55801.7,12.07
2808.0,SEA WATER AT NARIMAN POINT,MAHARASHTRA,26.91,4.78,7.6,54593.6,10.87
2809.0,"SEA WATER AT MALABAR HILL, WALKESHWAR, MUMBAI",MAHARASHTRA,28.82,4.55,7.67,52354.5,10.55
2810.0,"SEA WATER AT HAJI ALI, WORLI, MUMBAI",MAHARASHTRA,28.82,4.56,7.75,54210.0,9.63
2811.0,"SEA WATER AT SHIVAJI PARK, DADAR, MUMBAI",MAHARASHTRA,28.91,4.78,7.72,54160.0,10.55
2812.0,"SEA WATER AT JUHU BEACH, JUHUGAON, SANTACRUZ, MUMBAI",MAHARASHTRA,25.67,4.77,7.79,54037.5,11.09
2813.0,"SEA WATER AT GANAPATHIPULE, RATNAGIRI.",MAHARASHTRA,26.58,6.25,7.95,31535.5,4.05
2814.0,"SEA WATER AT BHAGWATI BUNDER, RATNAGIRI NEAR ULTRA TECH CEMENT JETTY AT MIRKARWADA.",MAHARASHTRA,28.09,5.97,8.03,24728.2,3.95
2815.0,MADVI SEA  WATER  AT RATNAGIRI NEAR JODHALE MARUTI TEMPLE AT MADVIGAON.,MAHARASHTRA,27.42,5.85,8.06,26033.0,4.2
2439.0,PURI,ORISSA,26.42,7.05,8.03,40106.7,1.28
2440.0,PARADEEP,ORISSA,28.25,7.07,7.93,41071.7,1.18
2441.0,GOPALPUR,ORISSA,27.58,6.98,7.93,41660.0,1.59
2354.0,"SAMARLA KOTA CANAL, KAKINADA,EAST GODAVARI",ANDHRA PRADESH,24.55,5.85,7.37,338.18,1.13
2355.0,"TULJE BAGH CANAL, TEKRI DRAIN,KAKINADA,EAST GODAVARI,",ANDHRA PRADESH,26.0,5.98,7.37,4849.55,1.31
3051.0,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY,  KRISHNA",ANDHRA PRADESH,23.38,3.38,7.04,953.88,1.96
2265.0,"CANAL UP STREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE (1 KM FROM M/S NICOMENT INDUSTRIES)",GOA,30.5,7.65,5.68,55.3,1.31
2268.0,CUMBARJUA CANAL CORLIM(DISCHARGE POINT OF SYNGENTA LIMITED),GOA,30.0,4.96,6.5,176.53,2.25
2073.0,"NARMADA MAIN CANAL, NR. VILLAGE. LIMBADIA, DIST. GANDHINAGAR.",GUJARAT,27.25,7.91,8.21,252.0,2.0
2074.0,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.",GUJARAT,29.42,7.28,8.08,482.58,2.09
1116.0,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT,HARYANA,22.0,7.2,7.85,267.5,2.44
3461.0,"KANOLI CANAL AT ERANJIKKAL, KAZHEKODE",KERALA,26.56,4.56,7.32,16064.0,1.91
3467.0,"UNTHITHODU AT ELOOR, ERNAKULAM",KERALA,28.09,0.97,6.93,1614.78,14.59
3469.0,"PALAKKATTUTHAZHA-MTHODU AT PERUMBAVOOR, ERNAKULAM",KERALA,27.2,4.73,6.83,68.44,1.76
2428.0,JOBRA( ORIGIN OF TALAGANDA CNAL),ORISSA,27.8,7.94,7.92,173.0,1.78
2429.0,"NAUBAZAR, CUTTACK CITY",ORISSA,28.6,6.44,7.94,182.8,2.08
2430.0,"ATHARABANKI(WATER INTAKE POINT OF PPL, IFFCO & PPT)",ORISSA,29.2,7.71,7.83,572.07,3.62
2932.0,"NARMADA MAIN CANAL (BEFORE ENTERING IN RAJASTHAN STATE), TEHSIL SANCHORE, JALORE",RAJASTHAN,22.21,6.91,8.08,377.5,1.19
2933.0,"GANG CANAL AT KHAKKA HEAR NEAR HINDUMAL KOT, GANGANAGAR",RAJASTHAN,24.66,5.84,7.27,333.33,1.3
2934.0,MASITAWALA HEAD HANUMANGARH,RAJASTHAN,28.47,5.92,7.08,324.17,1.33
1729.0,"NEAR PRAGATI VIDYABHAWAN, AGARTALA",TRIPURA,28.5,1.33,8.84,384.67,33.51
2512.0,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA NAGAR MOTIBRIDGE",WEST BENGAL,29.08,1.2,7.16,1196.25,33.72
2513.0,"KHARDA CANAL NORTH 24 PARGANAS, NEAR JAYSHREE CHEMICAL INDUSTRY",WEST BENGAL,28.04,0.0,7.08,916.75,80.4
3052.0,"GUNTATHIPPA DRAIN B/C WITH RYVES CANAL AT RAMAVARAPPADU,  KRISHNA",ANDHRA PRADESH,22.73,2.33,7.0,1736.36,3.05
3053.0,"TULIA BAGH DRAIN AT VEMULAVADA,  EAST GODAVARI",ANDHRA PRADESH,26.27,5.8,7.35,12023.3,1.58
3054.0,"OUTLET OF ASH POND EFFLUENTS OF M/S.NTPC, RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,29.67,3.28,9.51,1169.0,12.49
3055.0,"TREATED EFFLUENTS OF 339 MLD STP, AMBERPET, HYDERABAD BEFORE JOINING TO MUSI,  HYDERABAD",ANDHRA PRADESH,27.22,1.36,7.66,1501.27,32.89
3056.0,"OUTLET OF STP, LANGARHOUSE LAKE,  RANGA REDDY",ANDHRA PRADESH,27.25,2.68,7.93,1352.0,16.19
3057.0,"OUTLET OF STP, NAGOLE ON RIVER MUSI,  RANGA REDDY",ANDHRA PRADESH,27.6,3.99,7.86,1116.36,23.0
3058.0,"OUTLET OF STP, KHAIRATABAD ON HUSSAINSAGAR LAKE, RANGA REDDY",ANDHRA PRADESH,26.71,3.3,7.38,962.0,28.57
3059.0,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY",ANDHRA PRADESH,27.38,2.06,7.78,1631.7,26.14
3060.0,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY",ANDHRA PRADESH,24.43,2.59,8.12,1691.11,12.68
3061.0,"OUTLET OF STP, NALLACHERUVU ON MUSI,  RANGAREDDY",ANDHRA PRADESH,27.4,2.83,7.71,1733.5,36.83
3062.0,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY",ANDHRA PRADESH,27.7,2.31,7.68,1779.45,25.0
3063.0,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL,  ADILABAD",ANDHRA PRADESH,27.64,3.79,7.61,1573.64,60.36
3064.0,"OUTLET OF 4MLD STP ON RIVER GODAVARI AT RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,29.5,0.38,7.92,1408.0,32.8
3065.0,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUNDAM,  KARIMNAGAR",ANDHRA PRADESH,30.1,1.37,7.8,1189.1,42.61
3066.0,"OUTLET OF STP ON GODAVARI, BHADRACHALAM,  KHAMMAM",ANDHRA PRADESH,20.73,1.92,6.88,1114.36,3.3
3067.0,"OUTLET OF STP ON GODAVARI, RAJAHMUNDRY,  EAST GODAVARI",ANDHRA PRADESH,25.36,5.85,7.55,298.55,1.13
2178.0,CHIKHALI NALLAH MEETS GODAVARI RIVER.,MAHARASHTRA,24.8,3.75,7.22,1079.33,14.09
2782.0,"RABODI NALLAH, RABODI, THANE",MAHARASHTRA,28.5,2.1,7.2,602.73,100.29
2783.0,"COLOUR CHEMICAL NALLAH, VILLAGE- MAJIWADA, THANE",MAHARASHTRA,28.5,1.99,7.37,4585.0,44.53
2784.0,"SANDOZ NALLAH, SANDOZBAUG, THANE",MAHARASHTRA,28.45,2.1,7.38,1290.47,55.18
2786.0,TARAPUR MIDC NALLA ( NEAR SUMP 1),MAHARASHTRA,27.64,2.25,6.25,3622.82,238.55
2787.0,"TARAPUR MIDC NALLA (NEAR SUMP 2), TARAPUR, PALGHAR, THANE",MAHARASHTRA,28.0,6.8,7.0,4714.56,297.33
2788.0,"TARAPUR MIDC NALLA (NEAR SUMP 3), MIDC TARAPUR, PALGHAR, THANE",MAHARASHTRA,28.2,2.4,5.22,6219.8,446.0
2789.0,"NALLA AT D/S ALKAI MANDIR, SOLAPUR, VILLAGE-ALKAI, TAL: MALSHIRAJ, DIST: SOLAPUR",MAHARASHTRA,33.67,3.03,7.77,1394.52,14.47
2790.0,PIMPAL-PANERI NALLA  AT RATNAGIRI NEAR FINOLEX INDUSTRIES AT YAHGANIGAON.,MAHARASHTRA,28.56,6.37,6.86,1272.96,3.6
1475.0,ZUARI AT PANCHAWADI,GOA,29.5,6.06,6.82,408.25,1.25
3181.0,RIVER ZUARI AT BORIM BRIDGE,GOA,30.17,5.5,6.89,143.01,1.28
3182.0,RIVER ZUARI AT MARCAIM JETTY,GOA,28.83,5.4,7.22,60.05,1.46
1400.0,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,29.0,5.77,7.21,34.42,5.25
1476.0,"MANDOVI AT TONCA, MARCELA",GOA,28.5,5.9,6.7,125.01,1.51
3185.0,MANDOVI AT AMONA BRIDGE,GOA,28.17,6.37,6.72,175.18,1.27
3186.0,RIVER MANDOVI AT IFFI JETTY,GOA,29.67,6.15,7.73,38.66,1.27
3187.0,MANDOVI NEAR HOTEL MARRIOT,GOA,29.83,6.12,7.76,39.31,1.5
1543.0,KALNA AT CHANDEL- PERNEM,GOA,27.25,7.34,6.86,60.53,0.7
1548.0,RIVER ASSONORA AT ASSONORA,GOA,28.13,6.76,6.57,71.01,1.47
2276.0,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,29.42,7.43,6.51,129.36,2.27
2275.0,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.33,7.0,6.76,503.0,1.6
3189.0,RIVER CHAPORA AT SIOLIM,GOA,29.0,6.3,7.52,31.15,1.62
1546.0,KHANDEPAR AT OPA - PONDA,GOA,28.5,7.09,6.75,70.06,0.83
2270.0,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,29.67,7.3,6.76,69.23,1.21
2272.0,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,28.33,6.73,6.6,117.99,0.98
1545.0,RIVER MADAI AT DABOS -  VALPOI,GOA,28.25,7.44,6.79,80.39,1.26
2274.0,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,GOA,29.42,4.49,6.56,250.01,2.42
2271.0,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",GOA,28.42,6.08,6.9,74.45,1.85
2273.0,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,29.92,5.91,7.3,44.01,1.63
3183.0,"SAL AT KHAREBAND, MARGAO",GOA,30.17,2.38,6.48,195.03,4.78
3184.0,"SAL AT ORLIM BRIDGE, ORLIM",GOA,31.17,4.02,6.79,206.89,1.77
3190.0,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,29.33,5.42,7.65,40.0,1.57
3191.0,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,29.67,5.33,7.63,41.06,1.37
1547.0,RIVER TALPONA AT CANACONA,GOA,28.88,7.0,6.93,54.11,0.82
3188.0,RIVER TIRACOL AT TIRACOL,GOA,29.17,5.9,7.72,43.82,2.05
1544.0,VALVANT AT SANKLI - BICHOLIM,GOA,29.25,7.13,6.54,59.79,1.7
1150.0,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,28.17,7.24,7.39,318.83,0.68
1865.0,RIVER DHADAR AT KOTHADA,GUJARAT,27.0,6.2,8.38,894.0,9.0
1434.0,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,GUJARAT,30.25,2.18,7.98,1835.25,17.93
1980.0,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,GUJARAT,30.5,1.99,7.74,3164.58,32.31
1149.0,KOLAK AT PATALIA BDG,GUJARAT,29.0,2.4,7.55,1500.0,6.15
1023.0,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,21.33,5.5,7.38,635.0,8.75
1024.0,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,24.0,5.5,7.4,1050.5,25.0
1295.0,"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,21.33,5.33,7.28,635.5,9.85
1473.0,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",PUNJAB,23.67,5.1,7.43,993.0,21.85
1698.0,"GHAGGAR AT D/S CHHATBIR, PUNJAB",PUNJAB,21.33,5.28,7.48,631.75,13.45
1699.0,GHAGGAR AT U/S DHAKANSU NALLAH,PUNJAB,17.5,4.87,7.4,972.67,17.47
1700.0,GHAGGAR AT D/S DHAKANSU NALLAH,PUNJAB,22.33,4.3,7.5,1155.5,24.5
1701.0,GHAGGAR AT D/S JHARMAL NADI,PUNJAB,22.0,4.8,7.4,903.5,26.0
1702.0,GHAGGAR AT U/S JHARMAL NADI,PUNJAB,21.33,5.05,7.4,1110.25,16.0
1703.0,GHAGGAR AT MOONAK,PUNJAB,24.0,5.28,7.43,1289.5,26.85
1704.0,GHAGGAR AT D/S SARDULGARH,PUNJAB,22.33,4.9,7.43,989.75,27.75
1705.0,GHAGGAR AT U/S SARDULGARH,PUNJAB,22.33,5.15,7.35,914.0,20.53
1718.0,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,RAJASTHAN,32.7,4.75,7.48,280.0,2.42
1871.0,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",HIMACHAL PRADESH,19.92,7.75,7.41,344.0,1.25
2624.0,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,20.23,7.29,7.01,310.15,1.42
2625.0,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,19.64,7.15,7.71,302.82,1.53
1870.0,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,18.06,6.21,7.51,787.5,41.5
