STATION CODE,LOCATIONS,ZIP,date_of_deployment,kit_status,,,,,,,,
3018,"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM",609001,,WORKING,,,,,,,,
3012,"CAUVERY AT KOMARAPALAYAM, NAMAKA",638183,,WORKING,,,,,,,,
3013,"CAUVERY AT URRACHIKOTTAI, ERODE",,,WORKING,,,,,,,,
3014,"CAUVERY AT VAIRAPALAYAM, NAMAKAL",,,WORKING,,,,,,,,
3017,"CAUVERY AT KUMBAKONAM, THANJAVUR",612001,,WORKING,,,,,,,,
1326,CAUVERY AT COLEROON,,,WORKING,,,,,,,,
1327,CAUVERY AT PITCHAVARAM,,,WORKING,,,,,,,,
1331,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER),,,WORKING,,,,,,,,
1332,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA,,,WORKING,,,,,,,,
1333,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH,,,WORKING,,,,,,,,
1334,DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH,,,WORKING,,,,,,,,
1335,"DAMODAR AT HOOGHLY, DURGACHAK, NEAR PATHIKALI",,,WORKING,,,,,,,,
2527,DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN,,,WORKING,,,,,,,,
1336,BARAKAR AT ASANSOL (WATER INTAKE POINT),,,WORKING,,,,,,,,
2509,"D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",,,WORKING,,,,,,,,
1337,RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,,,WORKING,,,,,,,,
2541,WATER INTAKE PT FOR BANKURA TOWN ON RIVER DWARAKESHWAR,,,WORKING,,,,,,,,
2531,U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,,,WORKING,,,,,,,,
2532,"D/S OF TARAPITH ON RIVER DWARKA, SATIGHAT",,,WORKING,,,,,,,,
2508,"D/S OF SILABATI AT GHATAL,",,,WORKING,,,,,,,,
2514,"JALANGI, D/S OF KRISHNA NAGAR",,,WORKING,,,,,,,,
1764,CHURNI D/S OF SANTIPUR TOWN,,,WORKING,,,,,,,,
2518,"CHURNI, MAJHADIA",,,WORKING,,,,,,,,
2517,"MATHA BHANGA, GOBINDAPUR",,,WORKING,,,,,,,,
2534,WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI,,,WORKING,,,,,,,,
2507,"D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",,,WORKING,,,,,,,,
1946,MAHANANDA AT SILIGURI,734010,,WORKING,,,,,,,,
2525,"MAHANANDA D/S, RAMGHAT",,,WORKING,,,,,,,,
2549,U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,,,WORKING,,,,,,,,
2550,D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,,,WORKING,,,,,,,,
1259,DHANSIRI AT GOLAGHAT,785619,,WORKING,,,,,,,,
1062,GANGA AT GARHMUKTESHWAR,245205,,WORKING,,,,,,,,
2488,"GANGA U/S, ANOOPSHAHAR",203390,,WORKING,,,,,,,,
2489,"GANGA D/S, ANOOPSHAHAR",,,WORKING,,,,,,,,
1145,GANGA AT NARORA (BULANDSAHAR),203389,,WORKING,,,,,,,,
2490,"GANGA AT KACHHLA GHAT, ALIGARH",,,WORKING,,,,,,,,
1063,GANGA AT KANNAUJ U/S (RAJGHAT),,,WORKING,,,,,,,,
1066,GANGA AT KANNAUJ D/S,,,WORKING,,,,,,,,
1146,GANGA AT BITHOOR (KANPUR),209203,,WORKING,,,,,,,,
1067,GANGA AT KANPUR U/S (RANIGHAT),,,WORKING,,,,,,,,
1068,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION),,,WORKING,,,,,,,,
1147,GANGA AT DALMAU (RAI BAREILLY),229207,,WORKING,,,,,,,,
2498,"GANGA AT KALA KANKAR, RAEBARELI",,,WORKING,,,,,,,,
1046,GANGA AT ALLAHABAD (RASOOLABAD),211002,,WORKING,,,,,,,,
2487,"GANGA AT KADAGHAT, ALLAHABAD",,,WORKING,,,,,,,,
1049,GANGA AT ALLAHABAD D/S (SANGAM),,,WORKING,,,,,,,,
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",231001,,WORKING,,,,,,,,
2486,"GANGA D/S, MIRZAPUR",,,WORKING,,,,,,,,
1071,GANGA AT VARANASI D/S (MALVIYA BRIDGE),,,WORKING,,,,,,,,
1073,GANGA AT TRIGHAT (GHAZIPUR),232332,,WORKING,,,,,,,,
1080,GANGA AT BAHARAMPORE,742101,,WORKING,,,,,,,,
2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",,,WORKING,,,,,,,,
2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",,,WORKING,,,,,,,,
1054,GANGA AT PALTA,,,WORKING,,,,,,,,
1472,GANGA AT SERAMPORE,712201,,WORKING,,,,,,,,
1053,GANGA AT DAKSHMINESWAR,700057,,WORKING,,,,,,,,
1471,GANGA AT HOWRAH-SHIVPUR,711102,,WORKING,,,,,,,,
1470,GANGA AT GARDEN REACH,20678,,WORKING,,,,,,,,
1052,GANGA AT ULUBERIA,,,WORKING,,,,,,,,
1469,GANGA AT DIAMOND HARBOUR,743331,,WORKING,,,,,,,,
1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD",,,WORKING,,,,,,,,
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,422013,,WORKING,,,,,,,,
2182,GODAVARI RIVER AT SAIKHEDA.,,,WORKING,,,,,,,,
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",,,WORKING,,,,,,,,
2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,422303,,WORKING,,,,,,,,
2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFL. PT, TAPOVAN.",,,WORKING,,,,,,,,
