STATION CODE,LOCATIONS,ZIP,date_of_deployment,kit_status,,,,,,,,
2185,VASHI CREEK AT VASHII BRIDGE.,,,WORKING,,,,,,,,
2797,"BHAYANDER CREEK AT D/S OF RAILWAY BRIDGE, JASAL PARK CHOUPATHY, NAVGHAR, BHAYANDER, THANE",,,WORKING,,,,,,,,
2798,"KHAREKURAN MURBE CREEK, KHAREKURAN, PALGHAR, THANE",,,WORKING,,,,,,,,
2799,"DANDI CREEK, DANDI, PALGHAR, THANE",,,WORKING,,,,,,,,
2800,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",401602,,WORKING,,,,,,,,
2801,"SAVTA CREEK, SAVTA, DAHANU, THANE",401602,,WORKING,,,,,,,,
2802,DAHANU CREEK AT DAHANU FORT,401601,,WORKING,,,,,,,,
2803,"PANVEL CREEK AT KOPRA BRIDGE, KOPRA, PANVEL, RAIGAD",,,WORKING,,,,,,,,
2804,KARAMBAVANE CREEK AT CHIPLUN.,,,WORKING,,,,,,,,
2165,SEA WATER AT GATEWAY OF INDIA.,400001,,WORKING,,,,,,,,
2166,SEA WATER AT CHARNI ROAD CHOUPATHY.,400004,,WORKING,,,,,,,,
2167,SEA WATER AT WORLI SEA FACE.,,,WORKING,,,,,,,,
2169,SEA WATER AT VERSOVA.,400050,,WORKING,,,,,,,,
2805,"ARNALA SEA, ARNALA, VASAI, THANE",401302,,WORKING,,,,,,,,
2806,"UTTAN SEA, UTTAN, BHAYANDER, THANE",401106,,WORKING,,,,,,,,
2807,"NAVAPURA SEA, NAVAPUR, PALGHAR, THANE",,,WORKING,,,,,,,,
2808,SEA WATER AT NARIMAN POINT,400020,,WORKING,,,,,,,,
2809,"SEA WATER AT MALABAR HILL, WALKESHWAR, MUMBAI",400006,,WORKING,,,,,,,,
2810,"SEA WATER AT HAJI ALI, WORLI, MUMBAI",400026,,WORKING,,,,,,,,
2811,"SEA WATER AT SHIVAJI PARK, DADAR, MUMBAI",400025,,WORKING,,,,,,,,
2812,"SEA WATER AT JUHU BEACH, JUHUGAON, SANTACRUZ, MUMBAI",,,WORKING,,,,,,,,
2813,"SEA WATER AT GANAPATHIPULE, RATNAGIRI.",415615,,WORKING,,,,,,,,
2814,"SEA WATER AT BHAGWATI BUNDER, RATNAGIRI NEAR ULTRA TECH CEMENT JETTY AT MIRKARWADA.",,,WORKING,,,,,,,,
2815,MADVI SEA  WATER  AT RATNAGIRI NEAR JODHALE MARUTI TEMPLE AT MADVIGAON.,,,WORKING,,,,,,,,
2439,PURI,,,WORKING,,,,,,,,
2440,PARADEEP,754142,,WORKING,,,,,,,,
2441,GOPALPUR,761002,,WORKING,,,,,,,,
2354,"SAMARLA KOTA CANAL, KAKINADA,EAST GODAVARI",533124,,WORKING,,,,,,,,
2355,"TULJE BAGH CANAL, TEKRI DRAIN,KAKINADA,EAST GODAVARI,",,,WORKING,,,,,,,,
3051,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY,  KRISHNA",,,WORKING,,,,,,,,
2265,"CANAL UP STREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE (1 KM FROM M/S NICOMENT INDUSTRIES)",,,WORKING,,,,,,,,
2268,CUMBARJUA CANAL CORLIM(DISCHARGE POINT OF SYNGENTA LIMITED),,,WORKING,,,,,,,,
2073,"NARMADA MAIN CANAL, NR. VILLAGE. LIMBADIA, DIST. GANDHINAGAR.",,,WORKING,,,,,,,,
2074,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.",,,WORKING,,,,,,,,
1116,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT,,,WORKING,,,,,,,,
3461,"KANOLI CANAL AT ERANJIKKAL, KAZHEKODE",,,WORKING,,,,,,,,
3467,"UNTHITHODU AT ELOOR, ERNAKULAM",,,WORKING,,,,,,,,
3469,"PALAKKATTUTHAZHA-MTHODU AT PERUMBAVOOR, ERNAKULAM",,,WORKING,,,,,,,,
2428,JOBRA( ORIGIN OF TALAGANDA CNAL),,,WORKING,,,,,,,,
2429,"NAUBAZAR, CUTTACK CITY",,,WORKING,,,,,,,,
2430,"ATHARABANKI(WATER INTAKE POINT OF PPL, IFFCO & PPT)",,,WORKING,,,,,,,,
2932,"NARMADA MAIN CANAL (BEFORE ENTERING IN RAJASTHAN STATE), TEHSIL SANCHORE, JALORE",,,WORKING,,,,,,,,
2933,"GANG CANAL AT KHAKKA HEAR NEAR HINDUMAL KOT, GANGANAGAR",,,WORKING,,,,,,,,
2934,MASITAWALA HEAD HANUMANGARH,,,WORKING,,,,,,,,
1729,"NEAR PRAGATI VIDYABHAWAN, AGARTALA",,,WORKING,,,,,,,,
2512,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA NAGAR MOTIBRIDGE",,,WORKING,,,,,,,,
2513,"KHARDA CANAL NORTH 24 PARGANAS, NEAR JAYSHREE CHEMICAL INDUSTRY",,,WORKING,,,,,,,,
3052,"GUNTATHIPPA DRAIN B/C WITH RYVES CANAL AT RAMAVARAPPADU,  KRISHNA",,,WORKING,,,,,,,,
3053,"TULIA BAGH DRAIN AT VEMULAVADA,  EAST GODAVARI",,,WORKING,,,,,,,,
3054,"OUTLET OF ASH POND EFFLUENTS OF M/S.NTPC, RAMAGUNDAM,  KARIMNAGAR",,,WORKING,,,,,,,,
3055,"TREATED EFFLUENTS OF 339 MLD STP, AMBERPET, HYDERABAD BEFORE JOINING TO MUSI,  HYDERABAD",,,WORKING,,,,,,,,
3056,"OUTLET OF STP, LANGARHOUSE LAKE,  RANGA REDDY",,,WORKING,,,,,,,,
3057,"OUTLET OF STP, NAGOLE ON RIVER MUSI,  RANGA REDDY",,,WORKING,,,,,,,,
3058,"OUTLET OF STP, KHAIRATABAD ON HUSSAINSAGAR LAKE, RANGA REDDY",,,WORKING,,,,,,,,
3059,"OUTLET OF STP, SAFILGUDA LAKE, RANGA REDDY",,,WORKING,,,,,,,,
3060,"OUTLET OF STP, DURGAM CHERUVU, RANGAREDDY",,,WORKING,,,,,,,,
3061,"OUTLET OF STP, NALLACHERUVU ON MUSI,  RANGAREDDY",,,WORKING,,,,,,,,
3062,"OUTLET OF STP, SAROOR NAGAR, RANGAREDDY",,,WORKING,,,,,,,,
3063,"OUTLET OF STP ON RIVER GODAVARI AT MANCHERIAL,  ADILABAD",,,WORKING,,,,,,,,
3064,"OUTLET OF 4MLD STP ON RIVER GODAVARI AT RAMAGUNDAM,  KARIMNAGAR",,,WORKING,,,,,,,,
3065,"OUTLET OF 14MLD STP ON GODAVARI, RAMAGUNDAM,  KARIMNAGAR",,,WORKING,,,,,,,,
3066,"OUTLET OF STP ON GODAVARI, BHADRACHALAM,  KHAMMAM",,,WORKING,,,,,,,,
3067,"OUTLET OF STP ON GODAVARI, RAJAHMUNDRY,  EAST GODAVARI",,,WORKING,,,,,,,,
2178,CHIKHALI NALLAH MEETS GODAVARI RIVER.,,,WORKING,,,,,,,,
2782,"RABODI NALLAH, RABODI, THANE",,,WORKING,,,,,,,,
2783,"COLOUR CHEMICAL NALLAH, VILLAGE- MAJIWADA, THANE",,,WORKING,,,,,,,,
2784,"SANDOZ NALLAH, SANDOZBAUG, THANE",,,WORKING,,,,,,,,
2786,TARAPUR MIDC NALLA ( NEAR SUMP 1),,,WORKING,,,,,,,,
2787,"TARAPUR MIDC NALLA (NEAR SUMP 2), TARAPUR, PALGHAR, THANE",,,WORKING,,,,,,,,
2788,"TARAPUR MIDC NALLA (NEAR SUMP 3), MIDC TARAPUR, PALGHAR, THANE",,,WORKING,,,,,,,,
2789,"NALLA AT D/S ALKAI MANDIR, SOLAPUR, VILLAGE-ALKAI, TAL: MALSHIRAJ, DIST: SOLAPUR",,,WORKING,,,,,,,,
2790,PIMPAL-PANERI NALLA  AT RATNAGIRI NEAR FINOLEX INDUSTRIES AT YAHGANIGAON.,,,WORKING,,,,,,,,
1475,ZUARI AT PANCHAWADI,,,WORKING,,,,,,,,
3181,RIVER ZUARI AT BORIM BRIDGE,,,WORKING,,,,,,,,
3182,RIVER ZUARI AT MARCAIM JETTY,,,WORKING,,,,,,,,
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,,,WORKING,,,,,,,,
1476,"MANDOVI AT TONCA, MARCELA",,,WORKING,,,,,,,,
3185,MANDOVI AT AMONA BRIDGE,,,WORKING,,,,,,,,
3186,RIVER MANDOVI AT IFFI JETTY,,,WORKING,,,,,,,,
3187,MANDOVI NEAR HOTEL MARRIOT,,,WORKING,,,,,,,,
1543,KALNA AT CHANDEL- PERNEM,,,WORKING,,,,,,,,
1548,RIVER ASSONORA AT ASSONORA,,,WORKING,,,,,,,,
2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",,,WORKING,,,,,,,,
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",,,WORKING,,,,,,,,
3189,RIVER CHAPORA AT SIOLIM,,,WORKING,,,,,,,,
1546,KHANDEPAR AT OPA - PONDA,,,WORKING,,,,,,,,
2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",,,WORKING,,,,,,,,
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",,,WORKING,,,,,,,,
1545,RIVER MADAI AT DABOS -  VALPOI,,,WORKING,,,,,,,,
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,,,WORKING,,,,,,,,
2271,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",,,WORKING,,,,,,,,
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",,,WORKING,,,,,,,,
3183,"SAL AT KHAREBAND, MARGAO",,,WORKING,,,,,,,,
3184,"SAL AT ORLIM BRIDGE, ORLIM",,,WORKING,,,,,,,,
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),,,WORKING,,,,,,,,
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,,,WORKING,,,,,,,,
1547,RIVER TALPONA AT CANACONA,,,WORKING,,,,,,,,
3188,RIVER TIRACOL AT TIRACOL,,,WORKING,,,,,,,,
1544,VALVANT AT SANKLI - BICHOLIM,,,WORKING,,,,,,,,
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,,,WORKING,,,,,,,,
1865,RIVER DHADAR AT KOTHADA,,,WORKING,,,,,,,,
1434,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESHWAR,,,WORKING,,,,,,,,
1980,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,,,WORKING,,,,,,,,
1149,KOLAK AT PATALIA BDG,,,WORKING,,,,,,,,
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),,,WORKING,,,,,,,,
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),,,WORKING,,,,,,,,
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI",,,WORKING,,,,,,,,
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",,,WORKING,,,,,,,,
1698,"GHAGGAR AT D/S CHHATBIR, PUNJAB",,,WORKING,,,,,,,,
1699,GHAGGAR AT U/S DHAKANSU NALLAH,,,WORKING,,,,,,,,
1700,GHAGGAR AT D/S DHAKANSU NALLAH,,,WORKING,,,,,,,,
1701,GHAGGAR AT D/S JHARMAL NADI,,,WORKING,,,,,,,,
1702,GHAGGAR AT U/S JHARMAL NADI,,,WORKING,,,,,,,,
1703,GHAGGAR AT MOONAK,,,WORKING,,,,,,,,
1704,GHAGGAR AT D/S SARDULGARH,,,WORKING,,,,,,,,
1705,GHAGGAR AT U/S SARDULGARH,,,WORKING,,,,,,,,
1718,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,,,WORKING,,,,,,,,
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",,,WORKING,,,,,,,,
2624,MARKANDA U/S KALA AMB,,,WORKING,,,,,,,,
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,,,WORKING,,,,,,,,
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",,,WORKING,,,,,,,,
2947,"JAWAI AT JAWAI DAM, SIROHI",,,WORKING,,,,,,,,
1717,"KODRA DAM, MOUNT ABU",,,WORKING,,,,,,,,
2948,"BANDI AT HEMAWAS DAM, PAL",,,WORKING,,,,,,,,
2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI",,,WORKING,,,,,,,,
1342,ACHENKOIL AT THUMPAMON,,,WORKING,,,,,,,,
1443,ACHENKOIL AT CHENNITHULA,,,WORKING,,,,,,,,
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",,,WORKING,,,,,,,,
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",,,WORKING,,,,,,,,
2297,R ANCHARAKANDY AT MERUVAMBA,,,WORKING,,,,,,,,
2319,R ANCHARAKANDY AT MERUVAMBA,,,WORKING,,,,,,,,
2286,R AYROOR AT AYROOR BRIDGE,,,WORKING,,,,,,,,
2331,R BHARATHAPUZHA AT KUTTIPPURAM,,,WORKING,,,,,,,,
2332,R BHARATHAPUZHA AT PATTAMBI,,,WORKING,,,,,,,,
1154,CHALAKUDY AT PULICKALKA-DAVU,,,WORKING,,,,,,,,
20,CHALIYAR AT KOOLIMADU,,,WORKING,,,,,,,,
21,CHALIYAR AT CHUNGAPALLY,,,WORKING,,,,,,,,
3464,"CHALIYAR AT NILAMBUR, MALAPPURAM",,,WORKING,,,,,,,,
1572,CHANDRAGIRI AT PADIYATHADKA,,,WORKING,,,,,,,,
1573,CHITRAPUZHA AT IRUMPANAM,,,WORKING,,,,,,,,
2295,R CORAPUZHA AT KANAYANKODE,,,WORKING,,,,,,,,
1564,"R ITHIKKARA AT AYUR, KERALA",,,WORKING,,,,,,,,
2287,R ITHIKKARA AT ITHIKKARA,,,WORKING,,,,,,,,
1566,R KADALUNDI AT THIRURANGADY,,,WORKING,,,,,,,,
2293,R KADALUNDI AT HAJIRAPPALLY,,,WORKING,,,,,,,,
2337,KADAMBAYAR AT BRAHMAPURAM,,,WORKING,,,,,,,,
2338,KADAMBAYAR AT MANCKAKADAVU,,,WORKING,,,,,,,,
42,"KALLADA AT PERUMTHOTTAM KADAVU, PUNALOOR",,,WORKING,,,,,,,,
2294,R KALLAI AT KALLAI BRIDGE,,,WORKING,,,,,,,,
3460,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",,,WORKING,,,,,,,,
3458,KARAPUZHA DAM AT WAYANAD,,,WORKING,,,,,,,,
1571,R KARINGODE AT KAKKADAVU,,,WORKING,,,,,,,,
1155,KARAMANA AT MOONNATTUMUKKU,,,WORKING,,,,,,,,
3471,"RIVER KARAMANA AT ARUVIKARA, THIRUVANANTHAPURAM",,,WORKING,,,,,,,,
2289,R KARUVANNURR AT KARUVANNUR BRIDGE,,,WORKING,,,,,,,,
2301,R KAVVAI AT KUTTIYOL PALAM,,,WORKING,,,,,,,,
2291,R KEECHERI AT VADAKKANCHERY BRIDGE,,,WORKING,,,,,,,,
2326,R KORAYAR AT KANJIKODE,,,WORKING,,,,,,,,
1569,R KUPPAM AT THALIPARAMBA,,,WORKING,,,,,,,,
2298,R KUPPAM AT RAYAROM,,,WORKING,,,,,,,,
1567,R KUTTIYADE AT KUTTIYADY ESTATE,,,WORKING,,,,,,,,
1568,"R MAHE AT VALAYAM, KERALA",,,WORKING,,,,,,,,
2285,R MAMOM AT MAMOM BRIDGE,,,WORKING,,,,,,,,
1340,MANIMALA  AT KALLOOPARA,,,WORKING,,,,,,,,
1384,MANIMALA AT THONDRA,,,WORKING,,,,,,,,
3459,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANAD",,,WORKING,,,,,,,,
2307,R MANJESWAR AT BAJRAKKARA BR.,,,WORKING,,,,,,,,
1339,MEENACHIL AT KIDANGOOR,,,WORKING,,,,,,,,
2304,R MOGRAL AT MOGRAL BR.,,,WORKING,,,,,,,,
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,,,WORKING,,,,,,,,
2302,R NEELASWARAM AT NAMBIARKAL DAM,,,WORKING,,,,,,,,
1570,R NEELESWARAM AT HOSDURG,,,WORKING,,,,,,,,
1563,R NEYYAR AT AMARAVILA,,,WORKING,,,,,,,,
2284,R NEYYAR AT ARUVIPURAM,,,WORKING,,,,,,,,
2288,R PALLICKAL AT NELLIMUKAL,,,WORKING,,,,,,,,
1156,PAMBA AT CHENGANNUR,,,WORKING,,,,,,,,
1341,PAMBA AT THAKAZHY,,,WORKING,,,,,,,,
1565,PAMBA DOWN,,,WORKING,,,,,,,,
17,PERIYAR NEAR ALWAYE-ELOOR,,,WORKING,,,,,,,,
18,PERIYAR AT KALADY,,,WORKING,,,,,,,,
1338,PERIYAR AT SEWAGE DISCHARGE POINT,,,WORKING,,,,,,,,
2333,PERIYAR AT MUPPATHADAM,,,WORKING,,,,,,,,
2334,RIVER PERIYAR AT PATHALAM,,,WORKING,,,,,,,,
2335,R PERIYAR AT KALAMASSERY,,,WORKING,,,,,,,,
2336,R PERIYAR AT PURAPPALLIKAVU,,,WORKING,,,,,,,,
3468,"PERIYAR AT KWA INTAKE- ALUVA, ERNAKULAM",,,WORKING,,,,,,,,
2300,PERUVAMBA AT CHANDAPPURA,,,WORKING,,,,,,,,
2303,R PULLUR AT PULLUR BR.,,,WORKING,,,,,,,,
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,,,WORKING,,,,,,,,
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,,,WORKING,,,,,,,,
2305,R SHRIYA AT ANGADIMOGARU,,,WORKING,,,,,,,,
2296,THALLASSERY AT PATHIPPALAM,,,WORKING,,,,,,,,
2292,R THIRUR AT THALAKKADATHUR BRIDGE,,,WORKING,,,,,,,,
2306,R UPPALA AT  UPPALA BR.,,,WORKING,,,,,,,,
3473,"RIVER VALAPATTANAM AT PARASSINIKADAVU, KANNUR",,,WORKING,,,,,,,,
1442,VAMANAPURAM,,,WORKING,,,,,,,,
1391,"HUSSAIN SAGAR LAKE, BUDAMERU",,,WORKING,,,,,,,,
1447,DHARMASAGAR TANK NEAR WARANGAL,,,WORKING,,,,,,,,
1464,BIBINAGAR TANK,,,WORKING,,,,,,,,
1780,"GANDIGUDEM ,MEDAK",,,WORKING,,,,,,,,
1783,"KISTAREDDYPET TANK , MEDAK",,,WORKING,,,,,,,,
1788,"SAROONAGAR , RANGA REDDY",,,WORKING,,,,,,,,
1789,"HIMAYAT SAGAR LAKE , R.R.",,,WORKING,,,,,,,,
1790,"PULICATE LAKE ,  NELLORE",,,WORKING,,,,,,,,
2340,"LAXMINARAYANA CHEVURU AT EDULABAD,RANGAREDDY",,,WORKING,,,,,,,,
2341,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",,,WORKING,,,,,,,,
2342,"NOOR MD. KUNTA, KATTEDAN, RANGAREDDY",,,WORKING,,,,,,,,
2343,"PREMAJIPET TANK, KATTEDAN, RANGAREDDY",,,WORKING,,,,,,,,
2344,"NALLA CHEVURU,RANGAREDDY",,,WORKING,,,,,,,,
2345,"SAI CHEVURU, NEAR TANNERY INDUSTRIES, DESAIPET, WARANGAL",,,WORKING,,,,,,,,
2346,"BHADRAKALI CHEVURU, BHADRAKALI TEMPLE, WARANGAL",,,WORKING,,,,,,,,
2353,"KONDACHARLA-AAVA LAKE,PARAWADA PHARMA CITY,VISHAKHAPATNAM",,,WORKING,,,,,,,,
2357,DURGAM CHEVURU,,,WORKING,,,,,,,,
2358,MALLAPUR TANK,,,WORKING,,,,,,,,
2359,PEDDA CHEVURU,,,WORKING,,,,,,,,
3068,"RAMAPPA LAKE,  WARANGAL",,,WORKING,,,,,,,,
3069,"SHAMEERPET LAKE, SHAMEERPET, RANGA REDDY",,,WORKING,,,,,,,,
3070,"FOX SAGAR, JEEDIMETLA,  RANGA REDDY",,,WORKING,,,,,,,,
3071,"LANGARHOUSE LAKE, HYDERABAD",,,WORKING,,,,,,,,
3072,"SAFILGUDA LAKE,  RANGA REDDY",,,WORKING,,,,,,,,
3073,"HASMATHPET LAKE, HASMATHPET,  RANGA REDDY",,,WORKING,,,,,,,,
3074,"BANJARA LAKE, BANJARA HILLS,  RANGA REDDY",,,WORKING,,,,,,,,
3075,"RANGADHAMUNI CHERUVU,  RANGA REDDY",,,WORKING,,,,,,,,
3076,"AMBER CHERUVU, KUKATPALLY,  RANGA REDDY",,,WORKING,,,,,,,,
3077,"KAPRA CHERUVU, KAPRA,  RANGA REDDY",,,WORKING,,,,,,,,
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY,  RANGA REDDY",,,WORKING,,,,,,,,
3084,"WADDEPALLY TANK, KAZIPET,  WARANGAL",,,WORKING,,,,,,,,
3085,"CHINNA WADDEPALLY TANK,  WARANGAL",,,WORKING,,,,,,,,
3086,"SAKI TANK, PATANCHERU,  RANGA REDDY",,,WORKING,,,,,,,,
1388,ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,,,WORKING,,,,,,,,
1446,HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA,,,WORKING,,,,,,,,
1383,ORUVATHILKOTTA LAKE,,,WORKING,,,,,,,,
1385,SASTHAMCOTTA LAKE,,,WORKING,,,,,,,,
1441,ASHTHAMUDI LAKE AT QUILON,,,WORKING,,,,,,,,
1574,PARAVUR,,,WORKING,,,,,,,,
1575,KOCHI (OIL TANKER JETTY),,,WORKING,,,,,,,,
1576,THEKKADY,,,WORKING,,,,,,,,
1577,KODUNGALLOOR,,,WORKING,,,,,,,,
1578,KAYAMKULAM,,,WORKING,,,,,,,,
1579,ALAPPUZHA,,,WORKING,,,,,,,,
1580,POOKOTE,,,WORKING,,,,,,,,
2312,LAKE VEMBANADU AT PATHIRAMANAL (ALAPPUZHA),,,WORKING,,,,,,,,
2318,PAZHASSI RESERVOIR (KANNUR),,,WORKING,,,,,,,,
2325,POND AT (PADMANABHA) SREE PADMANABHA SWAMY TEMPLE (TVPM),,,WORKING,,,,,,,,
2328,RSVR AT MALAMPUZHA,,,WORKING,,,,,,,,
2329,RSVR AT BHOOTHATHANKETU,,,WORKING,,,,,,,,
2330,RSVR AT EDAMALAYAR,,,WORKING,,,,,,,,
3462,MANANCHIRA POND AT KOZHEKODE,,,WORKING,,,,,,,,
3470,"VELLAYANI LAKE AT VANDITHADOM, THIRUVANANTHAPURAM",,,WORKING,,,,,,,,
1420,KODAI KANAL LAKE,,,WORKING,,,,,,,,
1421,UDHAGAMADALEM LAKE (OOTY),,,WORKING,,,,,,,,
1452,"YERCAUD LAKE, SALEM",,,WORKING,,,,,,,,
3007,VEERANAM LAKE AT CUDDALORE,,,WORKING,,,,,,,,
3010,PORUR LAKE AT THIRUVALLUR,,,WORKING,,,,,,,,
2205,MER BEEL AT MADHABPUR,,,WORKING,,,,,,,,
2206,DALONI BEEL NEAR JOGIGHOPA,,,WORKING,,,,,,,,
1263,ELANGABEEL SYSTEM POND (CONNECTED TO R. KOLANG),,,WORKING,,,,,,,,
2207,BOR BEEL AT JAKAI.,,,WORKING,,,,,,,,
2208,"BORPUKHURI, NAZIRA",,,WORKING,,,,,,,,
2209,"GAURISAGAR TANK, GAURISAGAR",,,WORKING,,,,,,,,
2210,"RAJMAW PUKHURI, JORHAT",,,WORKING,,,,,,,,
2211,"PADUMPUKHURI, TEZPUR",,,WORKING,,,,,,,,
2212,"GOPHUR TANK, GOPHUR",,,WORKING,,,,,,,,
2213,"JAIPAL PUKHURI, SIPAJHAR",,,WORKING,,,,,,,,
2214,"BOTODRIVA SATRA POND, NAGAON",,,WORKING,,,,,,,,
2215,SARAN BEEL,,,WORKING,,,,,,,,
2216,"DIGHALI PUKHURI, GUWAHATI",,,WORKING,,,,,,,,
2217,"SUBHAGYA KUNDA POND KAMAKHYA TEMPLE, GUWAHATI",,,WORKING,,,,,,,,
2218,"DEEPAR BEEL AT BORAGAON NEAR IASST, GUWAHATI",,,WORKING,,,,,,,,
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO",,,WORKING,,,,,,,,
2220,"CHAND DUBI BEEL, CHAND DUBI",,,WORKING,,,,,,,,
2221,"GANGA PUKHURI, NALBARI (GORDON SCHOOL)",,,WORKING,,,,,,,,
2222,RAJADINIA PUKHURI AT ABHAYAPURI,,,WORKING,,,,,,,,
2223,MAHAMAYA MANDIR PUKHURI,,,WORKING,,,,,,,,
2224,RAJAPUKHURI AT GAURIPUR,,,WORKING,,,,,,,,
2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI",,,WORKING,,,,,,,,
2226,SIVASAGAR TANK (BORPUKHURI) NEAR SIVADOL,,,WORKING,,,,,,,,
2227,"HORDAI PUKHURI, CHARAIDEW",,,WORKING,,,,,,,,
2228,GALA BEEL AT DERGAON,,,WORKING,,,,,,,,
1532,"*GOYSAGAR TANK, SIBSAGAR",,,WORKING,,,,,,,,
1347,UMIAM LAKE AT BARAPANI,,,WORKING,,,,,,,,
3346,UMIAM LAKE AT OUTFALL OF UMIAM RIVER,,,WORKING,,,,,,,,
3347,UMIAM LAKE MIDDLE POINT,,,WORKING,,,,,,,,
3348,UMIAM LAKE NEAR UNITED CHRISTIAN COLLEGE,,,WORKING,,,,,,,,
1348,"WARD LAKE AT SHILONG EAST,KHASI HILL DT.",,,WORKING,,,,,,,,
1459,THADLASKEIN LAKE,,,WORKING,,,,,,,,
3349,TASEK LAKE AT SONGSAK,,,WORKING,,,,,,,,
1727,LAXMI NARAYAN BARI PALACE COMPOUND,,,WORKING,,,,,,,,
1728,"RUDRASAGAR, SONUMURA",,,WORKING,,,,,,,,
2437,CHILKA LAKE (RAMSAR SITE),,,WORKING,,,,,,,,
2438,ANSHUPA,,,WORKING,,,,,,,,
2431,BINDUSAGAR ( RELIGIOUS POND OF BHUBANESWAR CITY),,,WORKING,,,,,,,,
2432,NARENDRA POKHARI ( RILIGIOUS POND OF PURI CITY),,,WORKING,,,,,,,,
2433,MARKANDA POKHARI ( RILIGIOUS POND OF PURI CITY),,,WORKING,,,,,,,,
2434,INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),,,WORKING,,,,,,,,
2435,SWETAGANGA ( RILIGIOUS POND OF PURI CITY),,,WORKING,,,,,,,,
2436,PARVATI SAGAR ( RILIGIOUS POND OF PURI CITY),,,WORKING,,,,,,,,
1765,"RABINDRASAROVAR NATIONAL LAKE, CALCUTTA",,,WORKING,,,,,,,,
2503,HATISHALA GHAT ON DUDHPUKUR AT TARAKESHWAR,,,WORKING,,,,,,,,
2504,MAINH GHAT ON DUDHPUKUR AT TARAKESHWAR,,,WORKING,,,,,,,,
2505,HUNUMAN GHAT ON DUDHPUKUR AT TARAKESHWAR,,,WORKING,,,,,,,,
2519,KOCHBIHAR LAKE (SAGAR DIGHI),,,WORKING,,,,,,,,
2520,MIRIKH LAKE,,,WORKING,,,,,,,,
2521,WATER RESERVIOR AT DELO,,,WORKING,,,,,,,,
2522,SINCHAL LAKE FOR DARJEELING,,,WORKING,,,,,,,,
2539,BELBONI LAKE NEAR BARJORA,,,WORKING,,,,,,,,
2544,SAHEBBANDH AT PURULIA,,,WORKING,,,,,,,,
1291,GOBINDSAGAR LAKE AT BILASPUR,,,WORKING,,,,,,,,
1429,"RENUKA LAKE , 35 KM FROM PATNA SAHIB NORTH",,,WORKING,,,,,,,,
2649,RIWALSAR LAKE,,,WORKING,,,,,,,,
1382,HARIKE LAKE D/S FROM CANAL,,,WORKING,,,,,,,,
